answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
,instructions,hostile-attribution-scene1-instruct2,0,,,False,,,,,instructions
,instructions,hostile-attribution-scene3-instruct1,2,,,False,,,,,instructions
,instructions,ToM-intro,0,,,False,,,,,instructions
hostile-attribution-scene3-on-purpose,test_response,hostile-attribution-scene3-q1,2,0.5,,False,ha_knock_attribution,,"hostile-attribution-scene3-on-purpose,hostile-attribution-scene3-by-accident",,attribution_question
hostile-attribution-scene1-q2-ans3,test_response,hostile-attribution-scene1-q2,0,0.33,,False,ha_bump_action,,"hostile-attribution-scene1-q2-ans1,hostile-attribution-scene1-q2-ans2,hostile-attribution-scene1-q2-ans3",,action_question
hostile-attribution-scene2-q2-ans2,test_response,hostile-attribution-scene1-q2,1,0.33,,False,ha_bounce_action,,"hostile-attribution-scene2-q2-ans1,hostile-attribution-scene2-q2-ans2,hostile-attribution-scene2-q2-ans3",,action_question
hostile-attribution-scene1-on-purpose,test_response,hostile-attribution-scene1-q1,0,0.5,,False,ha_bump_attribution,,"hostile-attribution-scene1-by-accident,hostile-attribution-scene1-on-purpose",,attribution_question
hostile-attribution-scene2-on-purpose,test_response,hostile-attribution-scene2-q1,1,0.5,,False,ha_bounce_attribution,,"hostile-attribution-scene2-by-accident,hostile-attribution-scene2-on-purpose",,attribution_question
,instructions,hostile-attribution-scene1-instruct1,0,,,False,,,,,instructions
,instructions,hostile-attribution-scene2-instruct2,1,,,False,,,,,instructions
,instructions,hostile-attribution-scene2-instruct1,1,,,False,,,,,instructions
hostile-attribution-scene3-q2-ans1,test_response,hostile-attribution-scene1-q2,2,0.33,,False,ha_knock_action,,"hostile-attribution-scene3-q2-ans1,hostile-attribution-scene3-q2-ans2,hostile-attribution-scene3-q2-ans3",,action_question
,instructions,hostile-attribution-scene3-instruct2,2,,,False,,,,,instructions
,instructions,hostile-attribution-scene3-instruct3,2,,,False,,,,,instructions
