answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
10,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,2+8,2+8,math_add_2_8,53,Add the numbers.,,,"9,11,12",EGMA,math,levante-math-dev,egma-math,5000,,Addition
,instructions,ToM-transition,9,,,,,,,ToM-transition,,,Nice work! Here is a new story.,no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
,instructions,ToM-intro,7,,theory-of-mind-retest-A,,,,,ToM-intro,,,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
1/4,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,0.6,,3/4-1/2,math_fraction_34_14,math_fraction_34_12_14,,Subtract the numbers.,,,"2/2,2/4,2/6",Zehra,math,levante-math-dev,egma-math,5000,,Fraction
preserve,test_response,vocab-item-148,1,0.25,vocab-item-bank,-0.6314,,,preserve,preserve,vocab_word_preserve,,,,,"grilling,heels,peel",dutch,vocab,levante-vocabulary-dev,vocab,,,test
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.4412038665,,Rp-320,Rp-320,mrot_2d_rabbit_040,20,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
,instructions,math-intro1-heavy,3,,math-item-bank,,-1,,,math-intro1-heavy,,,It's time for the first number game! Let's practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
11-red,test_response,trog-item-11,,0.25,trog-item-bank,-4.495436067,,,red,trog-item-11,trog_adjective_red,11,Choose the picture that shows...,,,"11-blue,11-pink,11-yellow",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,adjective
0.87,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,0,,"0,1",math_line_087_1,math_line_087_1,,Choose the number that is marked on the number line.,,,"0.71,0.67,0.96",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,3.010417442,,Dn-160,Dn-160,mrot_2d_duck_160,33,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
5,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_5_1000,math_slider_5_1000,,Move the slider to the indicated number.,,,,Siegler,math,levante-math-dev,egma-math,5000,,Number Line Slider
bn14-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,5.38018893,,bn14-320,bn14-320,,108,Choose the matching picture.,,,"bp14-000,bn14-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
0.56,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,0,,"0,1",math_line_056_1,math_line_056_1,,Choose the number that is marked on the number line.,,,"0.4,0.65,0.7",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
sad,test_response,ToM-scene5-q3-emotion_reasoning,5,0.25,theory-of-mind-item-bank,,,,5d,ToM-scene5-q3-emotion_reasoning,tom_reference_emotion_reasoning_1,,How does Katie feel about not getting the cup she wanted?,yes,,"proud,scared,happy",ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
tf1_61_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,-0.737,,tf1_61_M_ss3,tf1_61_M_ss3,matrix_set1_md_mat61,61,Choose the best pattern to fill in the blank.,,,"tf1_61_T3_ss3_md,tf1_61_T2_ss3_md,tf1_61_T4_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_18_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,,2.513,,tf1_18_M_ss2,tf1_18_M_ss2,,18,Choose the best pattern to fill in the blank.,,,"tf1_18_T3_ss2_md,tf1_18_T2_ss2_md,tf1_18_T4_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,ToM-scene-18-instruct4,18,,CO-theory-of-mind-retest-B,,,,18e,ToM-scene-18-instruct4,,,"Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
53-tall-boy-chases-horse,test_response,trog-item-53,,0.25,trog-item-bank,-2.846163891,,,the boy chasing the horse is tall,trog-item-53,trog_postmod_boy_chasing_horse_tall,53,Touch the picture that shows...,,,"53-horse-chases-tall-boy,53-horse-chases-boy,53-boy-chases-horse",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,postmodified subject
blue-triangle,test_response,"matrix-reasoning-prompt1-part1-downex,matrix-reasoning-prompt1-part2-downex",0,0.25,,,,,downex_item_6,downex_item_6,,,Look carefully at this. Which one fits?,,,"blue-star,blue-square,blue-circle",LEVANTE,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
coaster,test_response,vocab-item-020,1,0.25,vocab-item-bank,-0.4266,,,coaster,coaster,vocab_word_coaster,,,,,"card,painting,hummingbird",clip,vocab,levante-vocabulary-dev,vocab,,,test
22,test_response,number-identification-7,0,0.25,math-item-bank,,-2.5,,22,num-ident-22,math_identify_22,6,Choose the number you hear.,,,"44,52,20",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
,,,,,,,,,,,,,,,,,,,,,,,
calm,test_response,ToM-scene-8-q3-emotion_reasoning,8,0.25,theory-of-mind-retest-A,,,,8f,ToM-scene-8-q3-emotion_reasoning,tom_moral_reasoning_emotion_reasoning_2,,How do you think Mike would feel if he had not seen Allie reaching for the pencil?,yes,,"happy,angry,scared",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
65,test_response,missing-number-prompt2,0,0.25,math-corpus-retest,,-2,,"50, 55, 60, _",math_missing_50_55_60_x,math_missing_50_55_60_x,,What number goes here?,,,"75,70,80",Zehra,math,levante-math-dev,egma-math,5000,,Missing Number
,instructions,ToM-scene3-instruct2,3,,theory-of-mind-item-bank,,,,3a_1,ToM-scene3-instruct2,,18,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide.",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
,instructions,ToM-transition,14,,CO-theory-of-mind-retest-B,,,,,ToM-transition,,,Nice work! Here is a new story.,no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
telescope,test_response,vocab-item-076,1,0.25,vocab-item-bank,-3.3639,,,telescope,telescope,vocab_word_telescope,,,,,"tripod,windshield,anklet",clip,vocab,levante-vocabulary-dev,vocab,,,test
8,test_response,number-comparison-prompt2,3,0.5,math-item-bank,,3.006643,,"7, 5",num-comp-8,math_compare_7_5,23,Which is larger?,,,5,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,-1.094355573,,Dn-040,Dn-040,mrot_2d_duck_040,26,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf3_70_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_70_M_ss1,tf3_70_M_ss1,matrix_set3_md_mat70,70,Choose the best pattern to fill in the blank.,,,"tf3_70_T3_ss1_md,tf3_70_T4_ss1_md,tf3_70_T2_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,same-different-selection-instruct4-heavy,2,,same-different-selection-item-bank,,-1,,Now we're going to try something new! You're going to find pairs of shapes that are the same in some way. Let's learn how!,sds-instruct4-heavy,,,,,0,,,same-different-selection,levante-same-different-dev,same-different-selection,,0,instructions
no,test_response,ToM-scene-18-q2-false_belief,18,0.5,CO-theory-of-mind-retest-B,,,,18d,ToM-scene-18-q2-false_belief,tom_second_order_false_belief_2,,Does George know that Kat bought a storybook?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
tf3_56_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_56_M_ss2,tf3_56_M_ss2,matrix_set3_pd_mat56,56,Choose the best pattern to fill in the blank.,,,"tf3_56_T4_ss2_md,tf3_56_T2_ss2_md,tf3_56_T3_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
chat,test_response,vocab-item-146,1,0.25,vocab-item-bank,-3.196,,,chat,chat,vocab_word_chat,,,,,"mountaineering,horseriding,referee",dutch,vocab,levante-vocabulary-dev,vocab,,,test
yes,test_response,ToM-scene-10-q4-reality_check,10,0.5,theory-of-mind-retest-A,,,,10c,ToM-scene-10-q4-reality_check,tom_deception_reality_check_2,,"Is there still a storybook left, that isn’t being used right now?",no,,no,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,2.70986034,,Dn-200,Dn-200,,35,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
13,test_response,addition-prompt2,1,0.25,math-item-bank,,-1.5,,6+7,6+7,math_add_6_7,60,Add the numbers.,,,"15,11,12",EGMA,math,levante-math-dev,egma-math,5000,,Addition
