,item_id,labels,en,es-CO,de,context
0,general-intro1,general,Hi! We are excited to have you play some games with us today!,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!","general-intro1
Final es-co & de translation review complete"
1,general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.","general-intro2
Final es-co & de translation review complete"
2,pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,Wähle einen Freund zum Mitspielen!,"pick-buddy
Final es-co & de translation review complete. 
When implemented, confirm this phrasing makes sense with the visuals, selection method, etc."
3,general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.","general-intro3
Final es-co & de translation review complete"
4,general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.","general-intro4
Final es-co & de translation review complete"
5,general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.

Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen. ","general-intro5
Final es-co & de translation review complete"
6,task-finished,general,You've completed the game. Thank you!,Has completado el juego. ¡Gracias!,You've completed the game. Thank you!,"task-finished
Final es-co & de translation review complete"
7,continue-button-text,general,OK,OK,OK,"continue-button-text
Final es-co & de translation review complete"
8,close-button-text,general,Close,Cerrar,Close,"close-button-text
Final es-co & de translation review complete"
9,general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,Click the button below or press <b>ANY KEY</b> to continue,"general-footer
Final es-co translation review complete.
For DE confirm wording - send screen shot to DE "
10,instructions,general,instructions,instrucciones,instructions,"instructions
Final es-co & de translation review complete"
11,general-encourage,general,Keep Going!,¡Sigue adelante!,Keep Going!,"general-encourage
Final es-co & de translation review complete"
12,feedbackCorrect,general,Great! That's right.,¡Genial! Eso es correcto.,Great! That's right.,"feedbackCorrect
Final es-co & de translation review complete"
13,feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,Versuch es noch einmal!,"feedback-try-again
Final es-co & de translation review complete"
14,feedback-good-job,general,Good job!,¡Bien hecho!,Gut gemacht!,"feedback-good-job
Final es-co & de translation review complete"
15,feedback-nice-work,general,Nice work!,¡Muy bien!,Sehr gut!,"feedback-nice-work
Final es-co & de translation review complete"
16,replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.","replay-button
Final es-co translation review complete.
For DE confirm ""repeat button"" translation is specific enough"
17,general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,Wechseln Sie in den Vollbildmodus,"general-fullscreen
Final es-co & de translation review complete"
18,general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,"Sieht so aus, als wäre das etwas knifflig! Sehen wir uns die Anweisungen noch einmal an.","general-repeat-instructions
"
19,general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.","Wenn Sie Ihre Tastatur zum Beantworten einer Frage verwenden möchten, drücken Sie die Pfeiltaste neben Ihrer Auswahl.","general-keyboard-instructions
"
20,intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,Sie haben die Anleitung beendet. Ich danke Ihnen!,"intro-finished
"
21,general-exit,general,Exit,Salir,Exit,"general-exit
Final es-co & de translation review complete"
22,task-completion,general,You've finished this game. Thank you!,Has terminado este juego. ¡Gracias!,You've finished this game. Thank you!,"task-completion
Final es-co & de translation review complete"
23,matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,"Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!","matrix-reasoning-instruct1
Es-co complete, de still needs review."
24,matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,Siehst du dieses große Puzzle? Es fehlt ein Teil! Welches Teil gehört in das Puzzle?,"matrix-reasoning-instruct2
Es-co complete, de still needs review."
25,matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,"Wähle das beste Muster, um die Lücke zu füllen.","matrix-reasoning-prompt1
Es-co complete, de still needs review."
26,mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,"Siehst du diese beiden Schatten? Einer passt zu der Form. Lass uns schauen, welcher zur Form passt.","mental-rotation
Final es-co & de translation review complete"
27,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,"Mal sehen, ob diese Form zu dem Schatten passt. Diese Form passt nicht zum Schatten.","mental-rotation-training-instruct2
Final es-co & de translation review complete"
