answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
,instructions,ToM-transition,9,,,False,,,,,instructions
,instructions,ToM-intro,7,,,False,,,,,instructions
sad,test_response,ToM-scene5-q3-emotion_reasoning,5,0.25,,False,tom_reference_emotion_reasoning_1,,"proud,scared,happy",,emotion_reasoning_question
,instructions,ToM-scene-18-instruct4,18,,,False,,,,,instructions
calm,test_response,ToM-scene-8-q3-emotion_reasoning,8,0.25,,False,tom_moral_reasoning_emotion_reasoning_2,,"happy,angry,scared",,emotion_reasoning_question
,instructions,ToM-scene3-instruct2,3,,,False,,,,,instructions
,instructions,ToM-transition,14,,,False,,,,,instructions
no,test_response,ToM-scene-18-q2-false_belief,18,0.5,,False,tom_second_order_false_belief_2,,yes,,false_belief_question
yes,test_response,ToM-scene-10-q4-reality_check,10,0.5,,False,tom_deception_reality_check_2,,no,,reality_check_question
,instructions,ToM-scene-11-instruct2,11,,,False,,,,,instructions
,instructions,ToM-scene14-instruct1,14,,,False,,,,,instructions
,instructions,ToM-scene8-instruct1,8,,,False,,,,,instructions
redstack,test_response,ToM-scene-17-q1-reference,17,0.33,,False,tom_reference_reference,,"bluestack,yellowstack",,reference_question
,instructions,ToM-scene1-instruct1,1,,,False,,,,,instructions
no,test_response,ToM-scene-16-q3-false_belief,16,0.5,,False,tom_deception_false_belief_1,,yes,,false_belief_question
behind,test_response,ToM-scene-8-q7-reality_check,8,0.5,,False,tom_moral_reasoning_reality_check_2,,top,,reality_check_question
proud,test_response,ToM-scene-15-q4-emotion_reasoning,15,0.25,,False,tom_interpretation_emotion_reasoning,,"disgusted,sad,surprised",,emotion_reasoning_question
behind-flowerbush,test_response,ToM-scene-15-q3-reality_check,15,0.5,,False,tom_interpretation_reality_check_2,,behind-rock,,reality_check_question
calm,test_response,ToM-scene2-q7-emotion_reasoning,2,0.25,,False,tom_moral_reasoning_emotion_reasoning_2,,"happy,angry,scared",,emotion_reasoning_question
,instructions,ToM-transition,10,,,False,,,,,instructions
,instructions,ToM-scene-10-instruct4,10,,,False,,,,,instructions
,instructions,ToM-transition,18,,,False,,,,,instructions
