answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
10,test_response,addition-prompt2,1,0.25,-1.5,False,math_add_2_8,,"9,11,12",5000,Addition
1/4,test_response,subtraction-prompt2,1,0.25,0.6,False,math_fraction_34_12_14,,"2/2,2/4,2/6",5000,Fraction
,instructions,math-intro1-heavy,3,,-1,False,,,,,instructions
0.87,test_response,number-line-prompt1,0,0.25,0,False,math_line_087_1,,"0.71,0.67,0.96",5000,Number Line 4afc
5,test_response,number-line-slider-prompt1,2,0.1,-0.2,False,math_slider_5_1000,,,5000,Number Line Slider
0.56,test_response,number-line-prompt1,0,0.25,0,False,math_line_056_1,,"0.4,0.65,0.7",5000,Number Line 4afc
22,test_response,number-identification-7,0,0.25,-2.5,False,math_identify_22,,"44,52,20",5000,Number Identification
65,test_response,missing-number-prompt2,0,0.25,-2,False,math_missing_50_55_60_x,,"75,70,80",5000,Missing Number
8,test_response,number-comparison-prompt2,3,0.5,3.006643,False,math_compare_7_5,,5,5000,Number Comparison
13,test_response,addition-prompt2,1,0.25,-1.5,False,math_add_6_7,,"15,11,12",5000,Addition
0.45,test_response,number-line-slider-prompt1,2,0.1,0,False,math_slider_045_1,,,5000,Number Line Slider
200,test_response,missing-number-prompt2,0,0.25,-2,False,math_missing_x_300_400_500,,"100,150,600",5000,Missing Number
4/21,test_response,subtraction-prompt2,1,0.25,0.6,False,math_fraction_13_17_421,,"6/21,1/4,1/7",5000,Fraction
9,test_response,addition-prompt2,1,0.25,-1.5,False,math_add_7_2,,"7,10,8",5000,Addition
0,test_response,number-identification-4,0,0.25,-2.5,False,math_identify_0,,"1,9,10",5000,Number Identification
435,test_response,number-comparison-prompt2,0,0.5,-2,False,math_compare_390_435,,390,5000,Number Comparison
16,test_response,addition-prompt2,1,0.25,-1.5,False,math_add_9_7,,"18,14,15",5000,Addition
26,test_response,number-identification-25,0,0.25,-2.5,False,math_identify_26,,"36,46,27",5000,Number Identification
47,test_response,number-identification-28,0,0.25,-2.5,False,math_identify_47,,"74,37,17",5000,Number Identification
126,test_response,number-line-prompt1,0,0.25,-0.2,False,math_line_126_1000,,"520,917,722",5000,Number Line 4afc
676,test_response,number-line-prompt1,0,0.25,-0.2,False,math_line_676_1000,,"570,880,790",5000,Number Line 4afc
1/2,test_response,addition-prompt2,1,0.25,0.5,False,math_fraction_16_13_12,,"2/9,2/3,5/6",5000,Fraction
3/10,test_response,subtraction-prompt2,1,0.25,0.6,False,math_fraction_710_25_310,,"5/10,1/5,5/5",5000,Fraction
18,test_response,multiplication-prompt2,1,0.25,0.1,False,math_multiply_3_6,,"20,14,9",5000,Multiplication
5/14,test_response,subtraction-prompt2,1,0.25,0.6,False,math_fraction_37_114_514,,"2/14,2/7,4/7",5000,Fraction
1,practice_response,number-identification-1,3,0.33,-1,False,,,"6,9,7",5000,Number Identification
87,test_response,number-line-prompt1,0,0.25,-0.5,False,math_line_87_100,,"60,73,97",5000,Number Line 4afc
214,test_response,number-line-slider-prompt1,2,0.1,-0.2,False,math_slider_214_1000,,,5000,Number Line Slider
,instructions,math-instructions1,0,,,False,,,,,instructions
4,test_response,subtraction-prompt2,1,0.25,-1.4,False,math_subtract_10_6,,"3,2,5",5000,Subtraction
67,test_response,number-comparison-prompt2,0,0.5,-2.5,False,math_compare_65_67,,65,5000,Number Comparison
3/4,test_response,addition-prompt2,1,0.25,0.5,False,math_fraction_12_14_34,,"2/6,1/6,3/8",5000,Fraction
