answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
20,test_response,missing-number-prompt2,5,0.25,1.954,False,ar_reason_60_33_24_21_x,,"12,17,18",,Missing Number
10,test_response,missing-number-prompt2,2,0.25,-0.189,False,ar_reason_8_x_12_14,,"6,11,16",,Missing Number
6,test_response,missing-number-prompt2,4,0.25,0.427,False,ar_reason_10_x_3_1,,"7,4,5",,Missing Number
12,test_response,missing-number-prompt2,3,0.25,0.019,False,ar_reason_13_15_18_22,,"10,11,9",,Missing Number
17,test_response,missing-number-prompt2,5,0.25,1.22,False,ar_reason_20_26_38_62,,"18,15,12",,Missing Number
14,test_response,missing-number-prompt2,1,0.25,-0.461,False,ar_reason_5_8_11_x,,"9,10,12",,Missing Number
7,test_response,missing-number-prompt2,5,0.25,1.269,False,ar_reason_5_x_11_19_35,,"9,6,8",,Missing Number
9,test_response,missing-number-prompt2,5,0.25,1.22,False,ar_reason_6_x_15_27_51,,"8,11,13",,Missing Number
41,test_response,missing-number-prompt2,3,0.25,0.019,False,ar_reason_23_26_30_35_x,,"40,42,43",,Missing Number
2,test_response,missing-number-prompt2,3,0.25,0.542,False,ar_reason_11_9_6_x,,"0,1,3",,Missing Number
13,test_response,missing-number-prompt2,1,0.25,-0.461,False,ar_reason_11_x_15_17,,"12,16,10",,Missing Number
72;76,test_response,missing-number-prompt3,5,0.25,1.954,False,ar_reason_70_x_y_84,,"72;78,78;80,74;78",,Missing Number
27,test_response,missing-number-prompt2,3,0.25,1.079,False,ar_reason_1_3_9_x,,"12,18,13",,Missing Number
4,test_response,missing-number-prompt2,3,0.25,0.542,False,ar_reason_18_10_6_x_3,,"2,5,1",,Missing Number
5,test_response,missing-number-prompt2,1,0.25,-1.31,False,ar_reason_6_x_4_3,,"2,7,9",,Missing Number
9;9,test_response,missing-number-prompt3,4,0.25,0.843,False,ar_reason_3_3_4_6_6_7_x,,"9;10,8;9,10;10",,Missing Number
3,test_response,missing-number-prompt2,4,0.25,0.843,False,ar_reason_17_16_14_19_x,,"7,1,5",,Missing Number
9,test_response,missing-number-prompt2,2,0.25,0.107,False,ar_reason_1_3_3_5_7_7_x,,"10,5,11",,Missing Number
15,test_response,missing-number-prompt2,5,0.25,1.269,False,ar_reason_18_24_36_60,,"12,13,14",,Missing Number
8,practice_response,missing-number-prompt1,1,0.25,-1.836,False,,,"10,5,11",,Missing Number
17,test_response,missing-number-prompt2,2,0.25,-0.298,False,ar_reason_15_13_11,,"19,16,17",,Missing Number
27,test_response,missing-number-prompt2,4,0.25,0.427,False,ar_reason_13_15_19_x,,"28,35,24",,Missing Number
16,test_response,missing-number-prompt2,2,0.25,-0.189,False,ar_reason_7_19_13_x,,"18,17,15",,Missing Number
12,test_response,missing-number-prompt2,4,0.25,0.565,False,ar_reason_18_17_15_x_8,,"13,9,11",,Missing Number
2,test_response,missing-number-prompt2,2,0.25,-0.298,False,ar_reason_4_6_8,,"0,1,3",,Missing Number
2,test_response,missing-number-prompt2,1,0.25,-1.31,False,ar_reason_5_4_3_x,,"1,6,7",,Missing Number
7,practice_response,missing-number-prompt2,1,0.25,-1.836,False,,,"3,9,8",,Missing Number
15,test_response,missing-number-prompt2,4,0.25,0.565,False,ar_reason_18_17_x_12_8,,"16,13,14",,Missing Number
1,test_response,missing-number-prompt2,2,0.25,0.107,False,ar_reason_10_6_3_x,,"2,0,3",,Missing Number
15,test_response,missing-number-prompt2,3,0.25,1.079,False,ar_reason_17_x_12_8,,"16,14,13",,Missing Number
