answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
preserve,test_response,vocab-item-148,1,0.25,-0.6314,False,vocab_word_preserve,,"grilling,heels,peel",,test
coaster,test_response,vocab-item-020,1,0.25,-0.4266,False,vocab_word_coaster,,"card,painting,hummingbird",,test
telescope,test_response,vocab-item-076,1,0.25,-3.3639,False,vocab_word_telescope,,"tripod,windshield,anklet",,test
chat,test_response,vocab-item-146,1,0.25,-3.196,False,vocab_word_chat,,"mountaineering,horseriding,referee",,test
gesticulate,test_response,vocab-item-139,1,0.25,3.6938,False,vocab_word_gesticulate,,"listen,pose,hide",,test
mammalogy,test_response,vocab-item-150,1,0.25,2.5801,False,vocab_word_mammalogy,,"entomology,herpetology,ichthyology",,test
panda,test_response,vocab-item-108,1,0.25,-4.0549,False,vocab_word_panda,,"koala,pig,zebra",,test
sorbet,test_response,vocab-item-064,1,0.25,-0.111,False,vocab_word_sorbet,,"palette,tamale,chive",,test
dentist,test_response,vocab-item-114,1,0.25,-2.8296,False,vocab_word_dentist,,"doctor,pharmacist,scientist",,test
ball,test_response,vocab-item-088,1,0.25,-4.4474,False,vocab_word_ball,,"pen,peach,snack",,catch
furry,test_response,vocab-item-117,1,0.25,-2.5384,False,vocab_word_furry,,"hairy,fluffy,silky",,test
wetland,test_response,vocab-item-133,1,0.25,-1.2814,False,vocab_word_wetland,,"field,dune,meadow",,test
foam,test_response,vocab-item-027,1,0.25,-2.4014,False,vocab_word_foam,,"float,quilt,asparagus",,test
barrel,test_response,vocab-item-006,1,0.25,-3.036,False,vocab_word_barrel,,"bucket,shelf,anteater",,test
thermos,test_response,vocab-item-077,1,0.25,-0.4268,False,vocab_word_thermos,,"firewood,oilcan,coral",,test
oil,test_response,vocab-item-042,1,0.25,,False,vocab_word_oil,,"gel,grain,bassinet",,test
hedgehog,test_response,vocab-item-032,1,0.25,,False,vocab_word_hedgehog,,"iguana,owl,dumbwaiter",,test
sprinkler,test_response,vocab-item-066,1,0.25,-2.5125,False,vocab_word_sprinkler,,"flower,sparkler,charcoal",,test
squash,test_response,vocab-item-067,1,0.25,,False,vocab_word_squash,,"branch,pumpkin,gazelle",,test
hoe,test_response,vocab-item-033,1,0.25,-1.6399,False,vocab_word_hoe,,"dustpan,peg,beaker",,test
turbine,test_response,vocab-item-081,1,0.25,0.1884,False,vocab_word_turbine,,"generator,tab,pesto",,test
intersection,test_response,vocab-item-143,1,0.25,-0.4879,False,vocab_word_intersection,,"monastery,avenue,level",,test
arrow,test_response,vocab-item-109,1,0.25,-0.8274,False,vocab_word_arrow,,"bow,feather,stick",,test
cheese,test_response,vocab-item-017,1,0.25,-0.0719,False,vocab_word_cheese,,"butter,mud,hippopotamus",,test
fetch,test_response,vocab-item-119,1,0.25,-1.9109,False,vocab_word_fetch,,"jump,fight,sit",,test
habit,test_response,vocab-item-142,1,0.25,2.1081,False,vocab_word_habit,,"divinghelmet,chasuble,mail",,test
sunflower,test_response,vocab-item-072,1,0.25,-4.1555,False,vocab_word_sunflower,,"pineapple,rim,pinball",,test
ant,test_response,vocab-item-087,1,0.25,,False,vocab_word_ant,,"muffin,raspberry,mint",,catch
farm,test_response,vocab-item-098,1,0.25,,False,vocab_word_farm,,"zoo,park,forest",,test
map,test_response,vocab-item-039,1,0.25,-3.7111,False,vocab_word_map,,"marker,ruby,dishwasher",,test
uniform,test_response,vocab-item-116,1,0.25,-0.7776,False,vocab_word_uniform,,"costume,suit,dress",,test
acorn,test_response,vocab-item-001,1,0.25,-4.1862,False,vocab_word_acorn,,"coconut,key,clothesline",,test
metronome,test_response,vocab-item-151,1,0.25,1.0115,False,vocab_word_metronome,,"electricitymeter,protractor,voltmeter",,test
sedentary,test_response,vocab-item-162,1,0.25,1.3989,False,vocab_word_sedentary,,"proposal,effort,tripod",,test
gutter,test_response,vocab-item-030,1,0.25,-0.7046,False,vocab_word_gutter,,"almond,filter,porthole",,test
applaud,test_response,vocab-item-124,1,0.25,,False,vocab_word_applaud,,"yawn,stare,nurse",,test
couturier,test_response,vocab-item-130,1,0.25,2.2127,False,vocab_word_couturier,,"marketseller,matador,streetartist",,test
picking,test_response,vocab-item-110,1,0.25,-2.9949,False,vocab_word_picking,,"jumping,dancing,kneading",,test
cork,test_response,vocab-item-021,1,0.25,-2.0911,False,vocab_word_cork,,"jersey,skateboard,mascara",,test
dredging,test_response,vocab-item-166,1,0.25,1.8884,False,vocab_word_dredging,,"mow,deforestation,saltextraction",,test
skimmer,test_response,vocab-item-171,1,0.25,4.5504,False,vocab_word_skimmer,,"pastaspoon,spatula,strainer",,test
rubber band,test_response,vocab-item-070,1,0.25,,False,vocab_word_rubberband,,"drill,thermostat,vase",,test
degression,test_response,vocab-item-131,1,0.25,1.261,False,vocab_word_degression,,"fluctuation,progression,stagnation",,test
facade,test_response,vocab-item-140,1,0.25,4.4412,False,vocab_word_facade,,"glacier,interior,fog",,test
prism,test_response,vocab-item-048,1,0.25,-0.9176,False,vocab_word_prism,,"radar,subway,chinchilla",,test
rickety,test_response,vocab-item-137,1,0.25,-1.7795,False,vocab_word_rickety,,"dusk,vacationhome,skyscraper",,test
sandbag,test_response,vocab-item-053,1,0.25,-1.9166,False,vocab_word_sandbag,,"sandpaper,valve,octopus",,test
delivering,test_response,vocab-item-113,1,0.25,-2.0659,False,vocab_word_delivering,,"opening,building,connecting",,test
treasure,test_response,vocab-item-078,1,0.25,-3.1866,False,vocab_word_treasure,,"gift,rope,lamp",,test
blender,test_response,vocab-item-007,1,0.25,,False,vocab_word_blender,,"blind,mailbox,trampoline",,test
aesthete,test_response,vocab-item-135,1,0.25,,False,vocab_word_aesthete,,"bloodpressuremeasurement,philatelist,researcher",,test
tourniquet,test_response,,,0.25,,False,vocab_word_tourniquet,,"wiper,scalpel,weathervane",,test
swordfish,test_response,vocab-item-073,1,0.25,-0.4291,False,vocab_word_swordfish,,"catfish,leopard,graffiti",,test
kimono,test_response,vocab-item-035,1,0.25,-0.6306,False,vocab_word_kimono,,"cardigan,turntable,cable",,test
ruler,test_response,vocab-item-103,1,0.25,,False,vocab_word_ruler,,"measuringtape,compass,caliper",,test
scaffolding,test_response,vocab-item-054,1,0.25,-0.1618,False,vocab_word_scaffolding,,"satellite,veil,antelope",,test
cormorant,test_response,vocab-item-118,1,0.25,0.2287,False,vocab_word_cormorant,,"eel,narwhal,turtle",,test
irrigation,test_response,vocab-item-144,1,0.25,1.6923,False,vocab_word_irrigation,,"hydroterm,dump,repot",,test
blower,test_response,vocab-item-008,1,0.25,-2.4651,False,vocab_word_blower,,"buggy,burner,papaya",,test
paleontologist,test_response,vocab-item-152,1,0.25,-0.6156,False,vocab_word_paleontologist,,"labtechnician,surveyor,roadworker",,test
envelope,test_response,vocab-item-105,1,0.25,-1.9725,False,vocab_word_envelope,,"checkbook,stamp,notecard",,test
confectionery,test_response,vocab-item-129,1,0.25,,False,vocab_word_confectionery,,"confectionerymaterial,tools,food",,test
fork,test_response,vocab-item-091,1,0.25,,False,vocab_word_fork,,"crow,wagon,bead",,practice
trumpet,test_response,vocab-item-079,1,0.25,,False,vocab_word_trumpet,,"flute,violin,coleslaw",,test
roof,test_response,vocab-item-101,1,0.25,-3.2605,False,vocab_word_roof,,"stairs,door,fence",,test
carousel,test_response,vocab-item-014,1,0.25,-1.3925,False,vocab_word_carousel,,"carriage,dish,melon",,test
cassette,test_response,vocab-item-016,1,0.25,-1.2517,False,vocab_word_cassette,,"book,tape,hammock",,test
precarious,test_response,vocab-item-155,1,0.25,0.9546,False,vocab_word_precarious,,"cheerful,taiqi,readaloud",,test
kazoo,test_response,vocab-item-145,1,0.25,-0.6981,False,vocab_word_kazoo,,"cabasa,mandolin,rainstick",,test
tunnel,test_response,vocab-item-104,1,0.25,,False,vocab_word_tunnel,,"pathway,waterway,cavern",,test
caramel,test_response,vocab-item-013,1,0.25,-2.0087,False,vocab_word_caramel,,"amber,olive,warthog",,test
duck,test_response,vocab-item-090,1,0.25,,False,vocab_word_duck,,"tongue,ladder,snake",,practice
rice,test_response,vocab-item-051,1,0.25,,False,vocab_word_rice,,"box,dice,bedpost",,test
spatula,test_response,vocab-item-065,1,0.25,-1.9441,False,vocab_word_spatula,,"lava,paddle,pheasant",,test
antenna,test_response,vocab-item-003,1,0.25,-1.1464,False,vocab_word_antenna,,"pinecone,stem,backgammon",,test
triad,test_response,vocab-item-165,1,0.25,2.1904,False,vocab_word_triad,,"duo,myriad,quartet",,test
skin,test_response,vocab-item-095,1,0.25,,False,vocab_word_skin,,"cardboard,drum,clock",,practice
net,test_response,vocab-item-041,1,0.25,,False,vocab_word_net,,"domino,tee,hydrant",,test
snail,test_response,vocab-item-063,1,0.25,-2.6348,False,vocab_word_snail,,"cow,worm,visor",,test
sloth,test_response,vocab-item-062,1,0.25,-3.0409,False,vocab_word_sloth,,"clam,donkey,incense",,test
resuscitation,test_response,vocab-item-157,1,0.25,0.766,False,vocab_word_resuscitation,,"breathing,pipetting,measurevolts",,test
seagull,test_response,vocab-item-056,1,0.25,-3.0402,False,vocab_word_seagull,,"lobster,pigeon,perfume",,test
baywindow,test_response,vocab-item-134,1,0.25,0.7852,False,vocab_word_baywindow,,"threshhold,drapery,capital",,test
stump,test_response,vocab-item-071,1,0.25,-1.7437,False,vocab_word_stump,,"bookshelf,log,showerhead",,test
,instructions,vocab-instruct-3,0,,,False,,,,,instructions
ship,test_response,vocab-item-057,1,0.25,,False,vocab_word_ship,,"boat,nose,zucchini",,test
shower,test_response,vocab-item-058,1,0.25,-4.1759,False,vocab_word_shower,,"soap,toe,cantaloupe",,test
dressing,test_response,vocab-item-100,1,0.25,-1.4867,False,vocab_word_dressing,,"juice,ketchup,flour",,test
stretcher,test_response,,,0.25,,False,vocab_word_stretcher,,"drill,thermostat,vase",,test
buffet,test_response,vocab-item-010,1,0.25,,False,vocab_word_buffet,,"counter,crib,rhubarb",,test
sink,test_response,vocab-item-060,1,0.25,,False,vocab_word_sink,,"stair,toilet,knitting",,test
milkshake,test_response,vocab-item-094,1,0.25,,False,vocab_word_milkshake,,"pan,needle,gate",,practice
lollipop,test_response,vocab-item-038,1,0.25,-5.6081,False,vocab_word_lollipop,,"candy,doorbell,crumb",,test
squirrel,test_response,vocab-item-068,1,0.25,,False,vocab_word_squirrel,,"eagle,monkey,shorts",,test
cloak,test_response,vocab-item-018,1,0.25,-0.88,False,vocab_word_cloak,,"cinnamon,hood,jellyfish",,test
cake,test_response,vocab-item-012,1,0.25,,False,vocab_word_cake,,"dessert,refrigerator,battery",,test
bamboo,test_response,vocab-item-005,1,0.25,,False,vocab_word_bamboo,,"lumber,yacht,apron",,test
carrot,test_response,vocab-item-015,1,0.25,-4.4345,False,vocab_word_carrot,,"phone,vegetable,bathtub",,test
suede,test_response,vocab-item-163,1,0.25,,False,vocab_word_suede,,"jeans,cotton,silk",,test
fan,test_response,vocab-item-026,1,0.25,-4.0501,False,vocab_word_fan,,"album,boulder,chipmunk",,test
slope,test_response,vocab-item-141,1,0.25,-0.05,False,vocab_word_slope,,"gap,sky,flat",,test
pitcher,test_response,vocab-item-046,1,0.25,-0.0966,False,vocab_word_pitcher,,"batter,tumbleweed,medal",,test
pump,test_response,vocab-item-050,1,0.25,-1.8656,False,vocab_word_pump,,"coat,plug,scarf",,test
arcade,test_response,vocab-item-120,1,0.25,1.1624,False,vocab_word_arcade,,"bellows,highvoltage,pier",,test
