,item_id,labels,en-US,es-CO,de-DE,fr-CA,nl-NL,context,en-US.1
0,general-intro1,general,Hi! We are excited to have you play some games with us today!,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,,,,"general-intro1
Final es-co & de translation review complete",
1,general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.",,,,"general-intro2
Final es-co & de translation review complete",
2,pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,,,,"pick-buddy
Final es-co & de translation review complete. 
When implemented, confirm this phrasing makes sense with the visuals, selection method, etc.",
3,general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.",,,,"general-intro3
Final es-co & de translation review complete",
4,general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.",,,,"general-intro4
Final es-co & de translation review complete",
5,general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.",,,,"general-intro5
Final es-co & de translation review complete",
6,task-finished,general,You've completed the game. Thank you!,Has completado el juego. ¡Gracias!,,,,"task-finished
Final es-co & de translation review complete",
7,continue-button-text,general,OK,OK,,,,"continue-button-text
Final es-co & de translation review complete",
8,close-button-text,general,Close,Cerrar,,,,"close-button-text
Final es-co & de translation review complete",
9,general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,,,,"general-footer
Final es-co translation review complete.
For DE confirm wording - send screen shot to DE ",
10,instructions,general,instructions,instrucciones,,,,"instructions
Final es-co & de translation review complete",
11,general-encourage,general,Keep Going!,¡Continúa!,,,,"general-encourage
Final es-co & de translation review complete",
12,feedbackCorrect,general,Great! That's right.,¡Genial! Eso es correcto.,,,,"feedbackCorrect
Final es-co & de translation review complete",
13,feedback-try-again,general,Please try again!,¡Inténtalo de nuevo!,,,,"feedback-try-again
Final es-co & de translation review complete",
14,feedback-good-job,general,Good job!,¡Bien hecho!,,,,"feedback-good-job
Final es-co & de translation review complete",
15,feedback-nice-work,general,Nice work!,¡Muy bien!,,,,"feedback-nice-work
Final es-co & de translation review complete",
16,replay-button,general,Press the speaker button if you want the question repeated.,Presiona el botón del altavoz si deseas que se repita la pregunta.,,,,"replay-button
Final es-co translation review complete.
For DE confirm ""repeat button"" translation is specific enough",
17,general-fullscreen,general,Switch to full screen mode,Cambiar al modo de pantalla completa,,,,"general-fullscreen
Final es-co & de translation review complete",
18,general-repeat-instructions,general,Looks like this is a little tricky! Let’s review the instructions.,¡Parece que esto es un poco complicado! Repasemos las instrucciones.,,,,"general-repeat-instructions
",
19,general-keyboard-instructions,general,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si quieres usar el teclado para responder una pregunta, haz click en la flecha que ves al lado de la opción que quieres seleccionar.",,,,"general-keyboard-instructions
",
20,intro-finished,general,You've finished the instructions. Thank you!,Has terminado las instrucciones. ¡Gracias!,,,,"intro-finished
",
21,general-exit,general,Exit,Salir,,,,"general-exit
Final es-co & de translation review complete",
22,task-completion,general,You've completed this game. Thank you!,Has completado el juego. ¡Gracias!,,,,"task-completion
Final es-co & de translation review complete",
23,matrix-reasoning-instruct1,matrix-reasoning,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!",Vamos a mostrarte un rompecabezas. Tu tarea es elegir la mejor pieza para completarlo. ¡Empecemos!,,,,"matrix-reasoning-instruct1
Es-co complete, de still needs review.",
24,matrix-reasoning-instruct2,matrix-reasoning,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,¿Ves este gran rompecabezas? Le falta una pieza. ¿Cuál pieza va en el rompecabezas?,,,,"matrix-reasoning-instruct2
Es-co complete, de still needs review.",
25,matrix-reasoning-prompt1,matrix-reasoning,Choose the best pattern to fill in the blank.,Escoge el mejor patrón para llenar el espacio en blanco.,,,,"matrix-reasoning-prompt1
Es-co complete, de still needs review.",
26,mental-rotation,mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,¿Ves estas dos siluetas? Una va con esta figura. Veamos cuál va con la figura.,,,,"mental-rotation
Final es-co & de translation review complete",
27,mental-rotation-training-instruct2,mental-rotation,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Veamos si esta figura va con la silueta. Esta figura no va con la silueta.,,,,"mental-rotation-training-instruct2
Final es-co & de translation review complete",
28,mental-rotation-training-instruct3,mental-rotation,Let's see if this shape goes with the outline. This shape does go with the outline.,Veamos si esta figura va con la silueta. Esta figura sí va con la silueta.,,,,"mental-rotation-training-instruct3
Final es-co & de translation review complete",
29,mental-rotation-test-instruct4,mental-rotation,Now you try! Can you find the shape that goes with the outline?,"¡Ahora, inténtalo tú! ¿Puedes encontrar la figura que va con la silueta?",,,,"mental-rotation-test-instruct4
Final es-co & de translation review complete",
30,mental-rotation-instruct-3D,mental-rotation,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,Ahora verás unas imágenes de bloques que tienen tres lados. Tu tarea es elegir la imagen que coincide.,,,,"mental-rotation-instruct-3D
",
31,mental-rotation-prompt2,mental-rotation,Choose the picture that matches this one.,Escoge la imagen que coincida con esta.,,,,"mental-rotation-prompt2
Final es-co & de translation review complete",
32,mental-rotation-prompt1,mental-rotation,Choose the matching picture.,Escoge la imagen que coincide.,,,,"mental-rotation-prompt1
Final es-co & de translation review complete",
33,math-instructions1,math,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","En este juego, harás algunos problemas de matemáticas. Algunos serán como los que haces en la escuela y otros serán un poco diferentes de los que haces en la escuela. Algunas preguntas te resultarán fáciles y otras difíciles. ¡No pasa nada! Esfuérzate al máximo y tómate tu tiempo. La mayoría de las preguntas tienen cuatro opciones. Eliges la que consideres correcta. ¡Empecemos!",,,,"math-instructions1
Es-co complete, de still needs review.",
34,number-comparison-prompt1,math,Which number is larger?,¿Cuál número es mayor?,,,,"number-comparison-prompt1
Es-co complete, de still needs review.",
35,number-comparison-prompt2,math,Which is larger?,¿Cuál es mayor?,,,,"number-comparison-prompt2
Es-co complete, de still needs review.",
36,number-identification-prompt1,math,Choose the number you hear.,Escoge el número cuando lo escuches.,,,,"number-identification-prompt1
Es-co complete, de still needs review.",
37,missing-number-prompt1,math,What number goes in the blank?,¿Cuál número va en el espacio en blanco?,,,,"missing-number-prompt1
Es-co complete, de still needs review.",
38,missing-number-prompt2,math,What number goes here?,¿Cuál número va aquí?,,,,"missing-number-prompt2
Es-co complete, de still needs review.",
39,addition-prompt1,math,Add the numbers and choose the correct answer.,Suma los números y escoge la respuesta correcta.,,,,"addition-prompt1
Es-co complete, de still needs review.",
40,addition-prompt2,math,Add the numbers.,Suma los números.,,,,"addition-prompt2
Es-co complete, de still needs review.",
41,subtraction-prompt1,math,Subtract the numbers and choose the correct answer.,Resta los números y escoge la respuesta correcta.,,,,"subtraction-prompt1
Es-co complete, de still needs review.",
42,subtraction-prompt2,math,Subtract the numbers.,Resta los números.,,,,"subtraction-prompt2
Es-co complete, de still needs review.",
43,multiplication-prompt1,math,Multiply the numbers and choose the correct answer.,Multiplica los números y escoge la respuesta correcta.,,,,"multiplication-prompt1
Es-co complete, de still needs review.",
44,multiplication-prompt2,math,Multiply the numbers.,Multiplica los números.,,,,"multiplication-prompt2
Es-co complete, de still needs review.",
45,number-line-instruct1,math,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Aquí tienes una recta numérica. Mira qué números están en los extremos. Puedes mover la barra roja hacia delante y hacia atrás a lo largo de la línea negra. Pon la barra roja en el lugar del número indicado.,,,,"number-line-instruct1
Es-co complete, de still needs review.",
