answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
,instructions,same-different-selection-instruct4-heavy,2,,-1,False,,0,,,instructions
,second_response,sds-2match-prompt2,2,,-1.4383118,False,sds_3match_choice2,2,"med-blue-triangle-3-gray,med-green-circle-3-striped,med-red-square-2,med-yellow-square-gray",,3-match
,third_response,sds-2match-prompt2,2,,0.758737,False,sds_4match_choice3,2,"med-blue-square,med-green-square-2-black,med-red-triangle-gray,med-green-circle-3-striped,med-yellow-star-4-gray",,4-match
,third_response,sds-2match-prompt2,2,,0.758737,False,sds_4match_choice3,2,"med-yellow-circle-3,med-blue-triangle-2-gray,med-red-square-striped,med-blue-star-4,med-green-triangle-black",,4-match
,first_response,sds-2match-prompt1,2,,-2.913335,False,sds_4match_choice1,2,"med-blue-circle-2-striped,med-yellow-triangle,med-red-square-3,med-red-circle-4-black,med-green-star-gray",,4-match
,first_response,sds-2match-prompt1,2,,-3.4771184,False,sds_3match_choice1,2,"med-red-circle-4-gray,med-green-star,med-blue-star-4-striped,med-yellow-triangle-2-gray",,3-match
med-yellow-star,test_response,same-different-selection-touch-star,0,0.25,-4.9103763,False,sds_dimensions_shape,1,"med-yellow-square,med-yellow-circle,med-yellow-triangle",,test-dimensions
,second_response,sds-2match-prompt2,2,0.75,-0.6553883,False,sds_2match_choice2,2,"sm-red-circle,sm-blue-triangle,lg-yellow-triangle",,2-match
,instructions,same-different-selection-instruct2-heavy,1,,-1,False,,0,,,instructions
,second_response,sds-2match-prompt2,2,,-1.4383118,False,sds_3match_choice2,2,"med-green-square-2-striped,med-red-triangle-2,med-green-star-3-black,med-blue-circle-4",,3-match
,first_response,sds-2match-prompt1,2,,-3.4771184,False,sds_3match_choice1,2,"med-red-star,med-blue-square-striped,med-blue-circle-4-gray,med-green-circle-2-black",,3-match
,third_response,sds-2match-prompt2,2,,0.758737,False,sds_4match_choice3,2,"med-green-circle-gray,med-blue-star-3,med-yellow-square-4-gray,med-yellow-circle-2-striped,med-red-triangle-3",,4-match
lg-red-square,test_response,sds-prompt3,1,0.5,-3.6418366,False,sds_same_same,1,"lg-red-square,sm-red-triangle",,something-same-2
,second_response,sds-2match-prompt2,2,0.75,-0.6553883,False,sds_2match_choice2,2,"med-yellow-square,sm-red-square,lg-yellow-triangle",,2-match
,third_response,sds-2match-prompt2,2,,0.885542,False,sds_3match_choice3,2,"med-blue-circle-2-gray,med-blue-square,med-green-circle-4-black,med-red-star-striped",,3-match
,fourth_response,sds-2match-prompt2,2,,1.8597702,False,sds_4match_choice4,2,"med-red-triangle-4-striped,med-blue-triangle-3-gray,med-green-star-2,sm-green-circle-striped,med-yellow-square-3-black",,4-match
med-red-star-4-striped,test_response,same-different-selection-touch-4,0,0.25,-4.9103763,False,sds_dimensions_number,1,"med-red-star-striped,med-red-star-3-striped,med-red-star-2-striped",,test-dimensions
med-yellow-star-striped,test_response,same-different-selection-touch-striped,0,0.25,-4.9103763,False,sds_dimensions_texture,1,"med-yellow-star-gray,med-yellow-star,med-yellow-star-black",,test-dimensions
,test_response,,,,,False,sds_3unique_choice2,,,,3-unique
med-red-square,test_response,sds-prompt3,1,0.5,-3.6418366,False,sds_same_same,1,"med-red-square,med-blue-circle",,something-same-2
,third_response,sds-2match-prompt2,2,,0.885542,False,sds_3match_choice3,2,"med-red-triangle,med-yellow-circle-gray,med-green-square-2-striped,med-yellow-star-4-striped",,3-match
,second_response,sds-2match-prompt2,2,0.75,-0.6553883,False,sds_2match_choice2,2,"med-blue-square,sm-red-circle,med-red-triangle",,2-match
med-red-star-3,test_response,same-different-selection-touch-3,0,0.25,-4.9103763,False,sds_dimensions_number,1,"med-red-star,med-red-star-2,med-red-star-4",,test-dimensions
,first_response,sds-2match-prompt1,2,,-2.913335,False,sds_4match_choice1,2,"med-green-circle-gray,med-blue-star-3,med-yellow-square-4-gray,med-yellow-circle-2-striped,med-red-triangle-3",,4-match
,third_response,sds-2match-prompt2,2,,0.885542,False,sds_3match_choice3,2,"med-red-square-3-gray,med-blue-star,med-blue-square-4-striped,med-yellow-triangle-2",,3-match
,second_response,sds-2match-prompt2,2,0.75,-0.6553883,False,sds_2match_choice2,2,"sm-blue-square,med-blue-triangle,med-red-circle",,2-match
,third_response,sds-2match-prompt2,2,,0.758737,False,sds_4match_choice3,2,"med-blue-circle-2-striped,med-yellow-triangle,med-red-square-3,med-red-circle-4-black,med-green-star-gray",,4-match
,third_response,sds-2match-prompt2,2,,0.758737,False,sds_4match_choice3,2,"med-green-circle-4,med-blue-star-3-gray,med-red-triangle-2,med-green-square-black,med-yellow-square-3-striped",,4-match
,second_response,sds-2match-prompt2,2,,-1.4383118,False,sds_3match_choice2,2,"med-red-star-striped,med-yellow-square-3-black,med-blue-star-3-gray,med-yellow-triangle-4",,3-match
,fourth_response,sds-2match-prompt2,2,,1.8597702,False,sds_4match_choice4,2,"med-blue-square,med-green-square-2-black,med-red-triangle-gray,med-green-circle-3-striped,med-yellow-star-4-gray",,4-match
