item_id,source,translation,score
general-rotate-device,Please rotate your device for the best view of the activities.,Please rotate your device for the best view of the activities.,0.32323792576789856
general-device-type,"Please use a tablet in landscape mode, or a desktop computer or a laptop to complete the activities.","Please use a tablet in landscape mode, a desktop computer, or a laptop to complete the activities.",0.30473944544792175
general-intro1,Hi! We are excited to have you play some games with us today!,Salut ! Nous sommes ravis que tu joues à des jeux avec nous aujourd'hui !,0.8860716223716736
general-intro2,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","Tout d'abord, vous devez choisir un partenaire pour jouer avec vous. Au fil des jeux, vous pourrez choisir un accessoire, comme un chapeau ou des lunettes, pour décorer votre partenaire.",0.8691442012786865
pick-buddy,Pick a buddy to play with!,Choisissez un ami avec qui jouer !,0.885630190372467
general-intro3,"Now that you have your buddy, we want to explain how the games work.","Maintenant que tu as ton copain, nous voulons t'expliquer comment fonctionnent les jeux.",0.8722054958343506
general-intro4,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Pendant les jeux, tu devras écouter les instructions, alors assure-toi que les haut-parleurs sont activés et que le volume te convient. Si tu souhaites réécouter les instructions, tu peux cliquer sur le bouton haut-parleur dans le coin de ton écran.",0.881076455116272
general-intro5,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Tu peux choisir tes réponses de différentes manières selon le type de tablette ou d'ordinateur que tu utilises. Tu peux utiliser une souris ou un pavé tactile pour cliquer sur ton choix, utiliser les touches fléchées de ton clavier ou toucher l'écran si tu utilises une tablette. Tu peux choisir la méthode qui te convient le mieux.<br><br>Si tu as des questions ou si tu as besoin d'aide pour commencer, demande à l'adulte à proximité de t'aider.",0.8782356381416321
task-finished,You've completed the game. Thank you!,Tu as terminé le jeu. Merci !,0.8880598545074463
continue-button-text,OK,D'accord,0.8607876300811768
close-button-text,Close,Fermer,0.40082070231437683
general-footer,Click the button below or press <b>ANY KEY</b> to continue,Clique sur le bouton ci-dessous ou appuie sur <b>N'IMPORTE QUELLE TOUCHE</b> pour continuer,0.6983197927474976
instructions,instructions,instructions,0.6368014812469482
general-encourage,Keep Going!,Continuez !,0.8192543387413025
feedbackCorrect,Great! That's right.,Super ! C'est ça.,0.8415045738220215
feedback-not-quite-right,That's not quite right. Please try again.,That's not quite right. Please try again.,0.6971194744110107
feedback-try-again,Please try again!,Veuillez essayer à nouveau !,0.8771342635154724
feedback-good-job,Good job!,Bien joué !,0.8123279213905334
feedback-nice-work,Nice work!,Bon travail !,0.8730639815330505
replay-button,Press the speaker button if you want the question repeated.,Appuie sur le bouton haut-parleur si tu veux que la question soit répétée.,0.8787100315093994
general-fullscreen,Switch to full screen mode,Passer en mode plein écran,0.8613878488540649
general-repeat-instructions,Looks like this is a little tricky! Let’s review the instructions.,Cela semble un peu compliqué ! Révisons les instructions.,0.8714675903320312
general-keyboard-instructions,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Si tu veux utiliser ton clavier pour répondre à une question, appuie sur la touche fléchée indiquée à côté de ton choix.",0.884288489818573
intro-finished,You've finished the instructions. Thank you!,Tu as terminé les instructions. Merci !,0.8817911148071289
general-exit,Exit,Quitter,0.44557711482048035
task-completion,You've completed this game. Thank you!,You've completed this game. Thank you!,0.27467623353004456
general-your-turn,Nice job with the practice! Let's try some more on your own.,Nice job with the practice! Let's try some more on your own.,0.2963009178638458
matrix-reasoning-instruct1,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!","Nous allons te montrer un puzzle, et ton travail est de choisir la meilleure pièce pour compléter le puzzle. Commençons !",0.8749380707740784
matrix-reasoning-instruct2,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,Vois ce grand puzzle ? Il manque une pièce ! Quelle pièce va dans le puzzle ?,0.8536953926086426
matrix-reasoning-prompt1,Choose the best pattern to fill in the blank.,Choisis le meilleur motif pour remplir le vide.,0.8512126207351685
mental-rotation,Do you see these two outlines? One goes with this shape. Let’s see which one goes with the shape.,Tu vois ces deux contours ? L'un va avec cette forme. Voyons lequel va avec la forme. EDIT EDIT.,0.688693106174469
mental-rotation-training-instruct2,Let's see if this shape goes with the outline. This shape doesn’t go with the outline.,Voyons si cette forme va avec le contour. Cette forme ne va pas avec le contour.,0.8345819711685181
mental-rotation-training-instruct3,Let's see if this shape goes with the outline. This shape does go with the outline.,Voyons si cette forme va avec le contour. Cette forme va avec le contour.,0.787071704864502
mental-rotation-test-instruct4,Now you try! Can you find the shape that goes with the outline?,À toi de jouer ! Peux-tu trouver la forme qui va avec le contour ?,0.8234528303146362
mental-rotation-instruct-3D,Now you will see pictures that show blocks with three sides. Your task is to choose the matching picture.,"Maintenant, tu verras des images montrant des blocs avec trois côtés. Ta tâche est de choisir l'image correspondante.",0.8720481991767883
mental-rotation-prompt2,Choose the picture that matches this one.,Choisis l'image qui correspond à celle-ci.,0.868465781211853
mental-rotation-prompt1,Choose the matching picture.,Choisissez l'image correspondante.,0.8691177368164062
math-instructions1,"In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. 

Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!","In this game, you will do some math problems. Some will be like the ones you do in school and some will be a little different than what you do in school. <br><br>Some questions might be easy for you and some might be hard. That is okay! Please try your best and take your time. Most of the questions will have four choices. You choose the one you think is right. Let’s get started!",0.21143639087677002
math-intro1,Here is the first section of the game. Let's start with some practice!,Here is the first section. Let's start with some practice!,0.2607330083847046
math-intro2,Here is another section. The first few are for practice.,Here is another section. The first few are for practice.,0.2835097908973694
math-intro-fractions,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,In this section sometimes you will add and sometimes you will subtract. Be sure to look carefully for the plus or minus sign. The first few are for practice.,0.1915094554424286
number-comparison-prompt1,Which number is larger?,Quel nombre est plus grand ?,0.8706638216972351
number-comparison-prompt2,Which is larger?,Lequel est plus grand ?,0.8671213984489441
number-identification-prompt1,Choose the number you hear.,Choisis le numéro que tu entends.,0.8089836835861206
missing-number-prompt1,What number goes in the blank?,Quel nombre va dans l'espace vide ?,0.7936083078384399
missing-number-prompt2,What number goes here?,Quel nombre va ici ?,0.757960855960846
missing-number-prompt3,What numbers go in the blanks?,What numbers go in the blanks?,0.2729920744895935
addition-prompt1,Add the numbers and choose the correct answer.,Ajoute les chiffres et choisis la réponse correcte.,0.87763911485672
addition-prompt2,Add the numbers.,Ajoute les chiffres.,0.8299582600593567
subtraction-prompt1,Subtract the numbers and choose the correct answer.,Soustrais les chiffres et choisis la réponse correcte.,0.8487809896469116
subtraction-prompt2,Subtract the numbers.,Soustrais les chiffres.,0.605415403842926
multiplication-prompt1,Multiply the numbers and choose the correct answer.,Multiplie les chiffres et choisis la réponse correcte.,0.8847410678863525
multiplication-prompt2,Multiply the numbers.,Multiplie les chiffres.,0.8456881046295166
number-line-instruct1,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number belongs. Make sure you look at the numbers at each end when deciding where to move the slider.,0.1602991223335266
number-line-prompt1,Choose the number that is marked on the number line.,Choisis le chiffre qui est marqué sur la ligne numérique.,0.8526856899261475
number-line-slider-prompt1,Move the slider to mark the number.,Move the slider to mark the number.,0.3533407747745514
number-identification-1,Choose the number 1.,Choisis le numéro 1.,0.8728064298629761
number-identification-2,Choose the 2.,Choisis le 2.,0.8699406385421753
number-identification-3,Choose the 9.,Choisis le 9.,0.8646202087402344
number-identification-4,Choose the 0.,Choisis le 0.,0.8630249500274658
number-identification-5,Choose the 12.,Choisis le 12.,0.863070547580719
number-identification-6,Choose the 30.,Choisis le 30.,0.8464159965515137
number-identification-7,Choose the 22.,Choisis le 22.,0.8584899306297302
number-identification-8,Choose the 45.,Choisis le 45.,0.8328148126602173
number-identification-9,Choose the 39.,Choisis le 39.,0.8471150398254395
number-identification-10,Choose the 23.,Choisis le 23.,0.8628146052360535
number-identification-11,Choose the 48.,Choisis le 48.,0.8466408848762512
number-identification-12,Choose the 91.,Choisis le 91.,0.8539310693740845
number-identification-13,Choose the 33.,Choisis le 33.,0.8607149720191956
number-identification-14,Choose the 74.,Choisis le 74.,0.8569126129150391
number-identification-15,Choose the 87.,Choisis le 87.,0.8629395961761475
number-identification-16,Choose the 65.,Choisis le 65.,0.843742847442627
number-identification-17,Choose the 108.,Choisis le 108.,0.8458205461502075
number-identification-18,Choose the 245.,Choisis le 245.,0.8528159856796265
number-identification-19,Choose the 587.,Choisis le 587.,0.847905695438385
number-identification-20,Choose the 731.,Choisis le 731.,0.8585092425346375
number-identification-21,Choose the 989.,Choisis le 989.,0.8482248187065125
number-identification-22,Choose the 6.,Choisis le 6.,0.8727990388870239
number-identification-23,Choose the 14.,Choisis le 14.,0.8653213381767273
number-identification-24,Choose the 18.,Choisis le 18.,0.8590009212493896
number-identification-25,Choose the 26.,Choisis le 26.,0.8664118051528931
number-identification-26,Choose the 35.,Choisis le 35.,0.8460336923599243
number-identification-27,Choose the 41.,Choisis le 41.,0.8562745451927185
number-identification-28,Choose the 47.,Choisis le 47.,0.8405451774597168
number-identification-29,Choose the 50.,Choisis le 50.,0.8434723019599915
number-identification-30,Choose the 55.,Choisis le 55.,0.8446845412254333
number-identification-31,Choose the 66.,Choisis le 66.,0.8541121482849121
number-identification-32,Choose the 67.,Choisis le 67.,0.8500648736953735
number-identification-33,Choose the 88.,Choisis le 88.,0.8583810329437256
number-identification-34,Choose the 101.,Choisis le 101.,0.8434226512908936
number-identification-35,Choose the 426.,Choisis le 426.,0.8419495820999146
number-identification-36,Choose the 131.,Choisis le 131.,0.8626405000686646
number-identification-37,Choose the 256.,Choisis le 256.,0.8559657335281372
number-identification-38,Choose the 349.,Choisis le 349.,0.8521363735198975
number-identification-39,Choose the 543.,Choisis le 543.,0.8417165875434875
number-identification-40,Choose the 617.,Choisis le 617.,0.8636102080345154
number-identification-41,Choose the 877.,Choisis le 877.,0.8566744923591614
trog-instruct1,"Now we're going to play a matching game! I'm going to say some words, and you choose the picture that goes with what I say. Let's get started!",Nous allons maintenant jouer à un jeu d'association ! Je vais dire quelques mots et tu choisirais l'image qui correspond à ce que je dis. Commençons !,0.8244818449020386
trog-prompt1,Choose the picture of the...,Choisissez l'image du...,0.7968662977218628
trog-prompt2,Choose the picture of...,Choisissez l'image de...,0.8238886594772339
trog-prompt3,Choose the picture that shows...,Choisissez l'image qui montre...,0.8142200112342834
trog-item-1,Choose the picture of the shoe.,Choisis l'image de la chaussure.,0.8682279586791992
trog-item-2,Choose the picture of the bird.,Choisis l'image de l'oiseau.,0.8709374070167542
trog-item-3,Choose the picture of the comb.,Choisis l'image du peigne.,0.8443635702133179
trog-item-4,Choose the picture of the apple.,Choisis l'image de la pomme.,0.87380051612854
trog-item-5,Choose the picture that shows eating.,Choisissez l'image qui montre manger.,0.8480327129364014
trog-item-6,Choose the picture that shows picking.,Choisissez l'image qui montre ramasser.,0.7368171215057373
trog-item-7,Choose the picture that shows sitting.,Choisissez l'image qui montre une personne assise.,0.8554778695106506
trog-item-8,Choose the picture that shows running.,Choisissez l'image qui montre la course.,0.8208996057510376
trog-item-9,Choose the picture that shows long.,Choisissez l'image qui montre longue.,0.5520396828651428
trog-item-10,Choose the picture that shows tall.,Choisissez l'image qui montre grande.,0.600504994392395
trog-item-11,Choose the picture that shows red.,Choisissez l'image qui montre rouge.,0.8048467636108398
trog-item-12,Choose the picture that shows black.,Choisissez l'image qui montre noire.,0.6921912431716919
trog-item-13,the boy is running,le garçon court,0.8620666265487671
trog-item-14,the big cup,la grande tasse,0.8086915016174316
trog-item-15,the dog is sitting,le chien est assis,0.858047604560852
trog-item-16,the red ball,la balle rouge,0.8501206040382385
trog-item-17,the boy is not running,le garçon ne court pas,0.8382081985473633
trog-item-18,the dog is not drinking,le chien ne boit pas,0.8568532466888428
trog-item-19,the girl is not jumping,la fille ne saute pas,0.7910285592079163
trog-item-20,the dog is not sitting,le chien ne s'assied pas,0.8409814834594727
trog-item-21,the boy is jumping over the box,le garçon saute par-dessus la boîte,0.8009278178215027
trog-item-22,the girl is sitting on the table,la fille est assise sur la table,0.8670992255210876
trog-item-23,the man is eating the apple,l'homme mange la pomme,0.8513967990875244
trog-item-24,the lady is carrying the bag,la dame porte le sac,0.8108083009719849
trog-item-25,they are sitting on the table,ils sont assis sur la table,0.7765251398086548
trog-item-26,the cow is looking at them,la vache les regarde,0.8549275398254395
trog-item-27,they are jumping over the wall,ils sautent par-dessus le mur,0.8327269554138184
trog-item-28,the elephant is carrying them,l'éléphant les transporte,0.8620810508728027
trog-item-29,the girl is pushing the horse,la fille pousse le cheval,0.8132018446922302
trog-item-30,the boy is chasing the sheep,le garçon poursuit le mouton,0.860180675983429
trog-item-31,the man is chasing the dog,l'homme poursuit le chien,0.860200047492981
trog-item-32,the cow is pushing the lady,la vache pousse la dame,0.7944961190223694
trog-item-33,she is sitting on the chair,elle est assise sur la chaise,0.8617699146270752
trog-item-34,the lady is carrying him,la dame le porte,0.821046769618988
trog-item-35,he is sitting in the tree,il est assis dans l'arbre,0.8563662171363831
trog-item-36,the horse is looking at her,le cheval la regarde,0.8655977249145508
trog-item-37,the cats look at the ball,les chats regardent la balle,0.8413928747177124
trog-item-38,the boy stands on the chairs,le garçon se tient sur les chaises,0.8321317434310913
trog-item-39,the boys pick the apples,les garçons cueillent les pommes,0.870785117149353
trog-item-40,the girl drops the cups,la fille laisse tomber les tasses,0.817396879196167
trog-item-41,the fork is longer than the pencil,la fourchette est plus longue que le crayon,0.8555993437767029
trog-item-42,the box is bigger than the cup,la boîte est plus grande que la tasse,0.7628436088562012
trog-item-43,the shoe is bigger than the bird,la chaussure est plus grande que l'oiseau,0.7692828178405762
trog-item-44,the horse is taller than the wall,le cheval est plus grand que le mur,0.8373895883560181
trog-item-45,the girl is chased by the horse,la fille est poursuivie par le cheval,0.8435772657394409
trog-item-46,the elephant is pushed by the boy,l'éléphant est poussé par le garçon,0.8590985536575317
trog-item-47,the horse is chased by the man,le cheval est poursuivi par l'homme,0.8509253263473511
trog-item-48,the cow is pushed by the man,la vache est poussée par l'homme,0.848581075668335
trog-item-49,the cup is in the box,la tasse est dans la boîte,0.8544282913208008
trog-item-50,the pencil is on the box,le crayon est sur la boîte,0.7924801707267761
trog-item-51,the circle is in the star,le cercle est dans l'étoile,0.7527955174446106
trog-item-52,the fork is on the shoe,la fourchette est sur la chaussure,0.8386903405189514
trog-item-53,the boy chasing the horse is tall,le garçon qui poursuit le cheval est grand,0.8555201888084412
trog-item-54,the pencil on the shoe is blue,le crayon sur la chaussure est bleu,0.8529734015464783
trog-item-55,the cow chasing the cat is brown,la vache qui poursuit le chat est brune,0.8762510418891907
trog-item-56,the circle in the star is yellow,le cercle dans l'étoile est jaune,0.8510671854019165
trog-item-57,the box but not the chair is red,la boîte mais pas la chaise est rouge,0.8240779042243958
trog-item-58,the cat is big but not black,le chat est grand mais pas noir,0.8731705546379089
trog-item-59,the horse but not the boy is standing,le cheval mais pas le garçon se tient,0.7388108968734741
trog-item-60,the boy is sitting but not eating,le garçon s'assied mais ne mange pas,0.8741257190704346
trog-item-61,the pencil is above the flower,le crayon est au-dessus de la fleur,0.8546397089958191
trog-item-62,the comb is below the spoon,le peigne est en-dessous de la cuillère,0.8292403817176819
trog-item-63,the star is above the circle,l'étoile est au-dessus du cercle,0.8605340123176575
trog-item-64,the square is below the star,le carré est en-dessous de l'étoile,0.8298162221908569
trog-item-65,not only the bird but also the flower is blue,non seulement l'oiseau mais aussi la fleur est bleue,0.867746114730835
trog-item-66,the box is not only big but also blue,la boîte n'est pas seulement grande mais aussi bleue,0.8516430854797363
trog-item-67,not only the girl but also the cat is sitting,non seulement la fille mais aussi le chat est assis,0.8400269746780396
trog-item-68,the girl has not only food but also a drink,la fille n'a pas seulement de la nourriture mais aussi une boisson,0.8563882112503052
trog-item-69,the pencil is on the book that is yellow,le crayon est sur le livre qui est jaune,0.7431819438934326
trog-item-70,the girl chases the dog that is big,la fille poursuit le chien qui est grand,0.8083122372627258
trog-item-71,the square is in the star that is blue,le carré est dans l'étoile qui est bleue,0.6861711144447327
trog-item-72,the dog chases the horse that is brown,le chien poursuit le cheval qui est brun,0.863298773765564
trog-item-73,neither the dog nor the ball is brown,ni le chien ni la balle ne sont bruns,0.8587481379508972
trog-item-74,the pencil is neither long nor red,le crayon n'est ni long ni rouge,0.8516279458999634
trog-item-75,neither the boy nor the horse is running,ni le garçon ni le cheval ne courent,0.8088856339454651
trog-item-76,the boy has neither hat nor shoes,le garçon n'a ni chapeau ni chaussures,0.8775904774665833
trog-item-77,the book the pencil is on is red,le livre sur lequel est le crayon est rouge,0.8286603689193726
trog-item-78,the cat the cow chases is black,le chat que poursuit la vache est noir,0.8517390489578247
trog-item-79,the circle the star is in is red,le cercle dans lequel est l'étoile est rouge,0.8646695017814636
trog-item-80,the boy the dog chases is big,le garçon que poursuit le chien est grand,0.852219820022583
trog-item-81,the horse drank water by the barn and the sheep ate grass by the fence,le cheval a bu de l'eau près de la grange et le mouton a mangé de l'herbe près de la clôture,0.8761517405509949
trog-item-82,the student opened the notebook and drew a tree,l'étudiant a ouvert le cahier et a dessiné un arbre,0.87784743309021
trog-item-83,we will have a picnic in the park if it is sunny,nous ferons un pique-nique dans le parc s'il fait soleil,0.8854091167449951
trog-item-84,he found his keys under the couch with the pillows,il a trouvé ses clés sous le canapé avec les coussins,0.8633351922035217
trog-item-85,she is the gardener who wears the hat that has a flower,elle est la jardinière qui porte le chapeau qui a une fleur,0.8596396446228027
