key,comparison,caregiver_lang,parent_lang,caregiver_value,parent_value
pages_0_elements_0_html,caregiver es-CO vs parent es-CO,es-CO,es-CO,"¡Gracias por participar en este proyecto de investigación!

Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 10 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).

Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda, comuníquesela a quien coordina esta aplicación.

Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.

¡Muchas gracias!","¡Gracias por participar en este proyecto de investigación!<br>Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 10 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).<br><br>Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda, comuníquesela a quien coordina esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br>¡Muchas gracias!"
pages_0_elements_0_html,caregiver en-US vs parent default,en-US,default,"Thank you for participating in this research project!<br> 
The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>
Thank you""","Thank you for participating in this research project!<br> The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you"
pages_0_elements_0_html,caregiver en-US vs parent en,en-US,en,"Thank you for participating in this research project!<br> 
The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>
Thank you""","Thank you for participating in this research project!<br> The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you"""
pages_0_elements_0_html,caregiver en-US vs parent en-US,en-US,en-US,"Thank you for participating in this research project!<br> 
The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>
Thank you""","Thank you again for participating in this research project!<br> 
The following survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>
Thank you"""
pages_1_elements_2_title,caregiver en-US vs parent default,en-US,default,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the <b>last 12 months</b>.","These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household <b>in the last 12 months.</b>"
pages_2_elements_0_elements_0_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely untrue,Definitely Untrue
pages_2_elements_0_elements_0_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat untrue,Somewhat Untrue
pages_2_elements_0_elements_0_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat true,Somewhat True
pages_2_elements_0_elements_0_choices_3_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely true,Definitely True
pages_2_elements_0_elements_1_choices_0_text,caregiver en-US vs parent en-US,en-US,en-US,Definitely untrue,Definitely Untrue
pages_2_elements_0_elements_1_choices_1_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat untrue,Somewhat Untrue
pages_2_elements_0_elements_1_choices_2_text,caregiver en-US vs parent en-US,en-US,en-US,Somewhat true,Somewhat True
pages_2_elements_0_elements_1_choices_3_text,caregiver en-US vs parent default,en-US,default,Definitely True,Definitely true
