old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
,completeText,missing key,Finish,missing key,Finish,missing key,Finish,missing key,Beenden,missing key,missing key,missing key,missing key,missing key,Terminar
,pageNextText,missing key,Next,missing key,Next,missing key,Next,missing key,Weiter,missing key,Weiter,missing key,missing key,missing key,Siguiente
,pagePrevText,missing key,Previous,missing key,Previous,missing key,Previous,missing key,Zurück,missing key,missing key,missing key,missing key,missing key,Anterior
,pages_0_elements_0_html,missing key,"Thank you for participating in this research project!<br> The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you",missing key,"Thank you for participating in this research project!<br> The following survey will take approximately 10 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>Thank you""",missing key,"Thank you again for participating in this research project!<br> 
The following survey will take approximately 20-30 minutes to complete and will ask questions about your home and yourself. <br><br> We appreciate you answering as completely and accurately as possible with the information you have available to you. If you have questions about this survey, please reach out to the research coordinator. <br><br>When you are ready to begin, select the “start survey” button. <br><br>
Thank you""",missing key,"Nochmals vielen Dank für die Teilnahme an diesem Forschungsprojekt! <p><br>Dieser Teil der Umfrage dauert etwa 20-30 Minuten und enthält Fragen zu Ihnen selbst und zu Ihrem häuslichen Umfeld.<br><br>Wir bitten Sie, die Fragen so vollständig und genau wie möglich zu beantworten. Wenn Sie Fragen zu dieser Umfrage haben, wenden Sie sich bitte an die Forschungskoordinatorin (luise_hornoff@eva. mpg. de).
<br><br>Wenn Sie bereit sind zu beginnen, klicken Sie auf \""Umfrage starten\"".<br><br>Vielen Dank",missing key,missing key,missing key,missing key,missing key,"¡Gracias por participar en este proyecto de investigación!<br>Estimamos que diligenciar la siguiente parte de la encuesta le tomará aproximadamente 10 minutos. En esta encuesta se le harán preguntas sobre su hogar y sobre usted mismo(a).<br><br>Le agradecemos que responda la encuesta de la forma más precisa posible con la información que tiene disponible. Si tiene alguna duda, comuníquesela a quien coordina esta aplicación.<br><br>Cuando esté listo(a) para empezar, seleccione el botón Comenzar Encuesta.<br><br>¡Muchas gracias!"
pages_1_elements_0_elements_0_labelFalse,pages_1_elements_0_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_1_elements_0_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_0_elements_2_title,pages_1_elements_0_elements_0_title,"In your neighborhood, is there a community center or recreation center where families get together?","In your neighborhood, is there a community center or recreation center where families get together?",missing key,"In your neighborhood, is there a community center or recreation center where families get together?",missing key,"In your neighborhood, is there a community center or recreation center where families get together?","Gibt es in Ihrer Nachbarschaft ein Gemeindezentrum oder ein Freizeitzentrum, in dem sich Familien treffen?","Gibt es in Ihrer Nachbarschaft ein Gemeindezentrum oder ein Freizeitzentrum, in dem sich Familien treffen?",missing key,missing key,¿En su vecindario hay un centro de recreación o centro comunitario donde se reúnen las familias?,missing key,missing key,¿En su vecindario hay un centro de recreación o centro comunitario donde se reúnen las familias?
pages_1_elements_0_elements_0_labelFalse,pages_1_elements_0_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_1_elements_0_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_0_elements_3_title,pages_1_elements_0_elements_1_title,"In your neighborhood, is there a library or other place to get free books?","In your neighborhood, is there a library or other place to get free books?",missing key,"In your neighborhood, is there a library or other place to get free books?",missing key,"In your neighborhood, is there a library or other place to get free books?","Gibt es in Ihrer Nachbarschaft eine Bibliothek oder einen anderen Ort, an dem man kostenlose Bücher erhalten kann?","Gibt es in Ihrer Nachbarschaft eine Bibliothek oder einen anderen Ort, an dem man kostenlose Bücher erhalten kann?",missing key,missing key,¿En su vecindario hay una biblioteca o un lugar donde conseguir libros gratis?,missing key,missing key,¿En su vecindario hay una biblioteca o un lugar donde conseguir libros gratis?
pages_1_elements_0_elements_0_labelFalse,pages_1_elements_0_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_1_elements_0_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_1_elements_0_elements_4_title,pages_1_elements_0_elements_2_title,"In your neighborhood, is there litter or garbage on the street or sidewalk?","In your neighborhood, is there litter or garbage on the street or sidewalk?",missing key,"In your neighborhood, is there litter or garbage on the street or sidewalk?",missing key,"In your neighborhood, is there litter or garbage on the street or sidewalk?",Gibt es in Ihrer Nachbarschaft Abfall oder Müll auf der Straße oder dem Gehweg?,Gibt es in Ihrer Nachbarschaft Abfall oder Müll auf der Straße oder dem Gehweg?,missing key,missing key,¿En su vecindario hay basura o desperdicios en las calles o aceras?,missing key,missing key,¿En su vecindario hay basura o desperdicios en las calles o aceras?
pages_1_elements_0_title,pages_1_elements_0_title,Please answer the following questions about the community in which you live.,Please answer the following questions about the community in which you live.,missing key,Please answer the following questions about the community in which you live.,missing key,Please answer the following questions about the community in which you live.,"Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft, in der Sie leben.","Bitte beantworten Sie die folgenden Fragen zu der Gemeinschaft, in der Sie leben.",missing key,missing key,Responda a las siguientes preguntas sobre la comunidad en la que vive.,missing key,missing key,Responda a las siguientes preguntas sobre la comunidad en la que vive.
pages_1_elements_1_columns_0_text,pages_1_elements_1_columns_0_text,Definitely Agree,Definitely Agree,missing key,Definitely Agree,missing key,Definitely Agree,Voll und ganz zustimmen,Voll und ganz zustimmen,missing key,missing key,Definitivamente de acuerdo,missing key,missing key,Definitivamente de acuerdo
pages_1_elements_1_columns_1_text,pages_1_elements_1_columns_1_text,Somewhat Agree,Somewhat Agree,missing key,Somewhat Agree,missing key,Somewhat Agree,Eher zustimmen,Eher zustimmen,missing key,missing key,Algo de acuerdo,missing key,missing key,Algo de acuerdo
pages_1_elements_1_columns_2_text,pages_1_elements_1_columns_2_text,Somewhat Disagree,Somewhat Disagree,missing key,Somewhat Disagree,missing key,Somewhat Disagree,Eher nicht zustimmen,Eher nicht zustimmen,missing key,missing key,Algo en descuerdo,missing key,missing key,Algo en descuerdo
pages_1_elements_1_columns_3_text,pages_1_elements_1_columns_3_text,Definitely Disagree,Definitely Disagree,missing key,Definitely Disagree,missing key,Definitely Disagree,Überhaupt nicht zustimmen,Überhaupt nicht zustimmen,missing key,missing key,Definitivamente en desacuerdo,missing key,missing key,Definitivamente en desacuerdo
pages_1_elements_1_rows_0_text,pages_1_elements_1_rows_0_text,People in your neighborhood help each other out.,People in your neighborhood help each other out.,missing key,People in your neighborhood help each other out.,missing key,People in your neighborhood help each other out.,Die Menschen in deiner Nachbarschaft helfen sich gegenseitig.,Die Menschen in deiner Nachbarschaft helfen sich gegenseitig.,missing key,missing key,La gente de su vecindario se ayuda mutuamente.,missing key,missing key,La gente de su vecindario se ayuda mutuamente.
