answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,0.4412038665,False,mrot_2d_rabbit_040,,"Rp-000-silh,Rn-000-silh",5000,2D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,3.010417442,False,mrot_2d_duck_160,,"Dp-000-silh,Dn-000-silh",5000,2D
bn14-000,test_response,mental-rotation-prompt1,3,0.5,5.38018893,False,,,"bp14-000,bn14-000",5000,3D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,-1.094355573,False,mrot_2d_duck_040,,"Dp-000-silh,Dn-000-silh",5000,2D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,2.70986034,False,,,"Dp-000-silh,Dn-000-silh",5000,2D
an2-000,test_response,mental-rotation-prompt1,3,0.5,4.57381011,False,,,"ap2-000,an2-000",5000,3D
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,5,False,,,"P2p-000-silh,P2n-000-silh",5000,
bn5-000,test_response,mental-rotation-prompt1,3,0.5,4.91109162,False,,,"bn5-000,bp5-000",5000,3D
bn8-000,test_response,mental-rotation-prompt1,3,0.5,5.435066553,False,mrot_3d_shape_120,,"bp8-000,bn8-000",5000,3D
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.457061028,False,mrot_2d_rabbit_120,,"Rp-000-silh,Rn-000-silh",5000,2D
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,3.125,False,,,"P1p-000-silh,P1n-000-silh",5000,
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.625,False,,,"P2p-000-silh,P2n-000-silh",5000,
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,2.645080401,False,mrot_2d_duck_160,,"Dp-000-silh,Dn-000-silh",5000,2D
bn6-000,test_response,mental-rotation-prompt1,3,0.5,4.96642463,False,,,"bn6-000,bp6-000",5000,3D
P1p-000-silh,practice_response,mental-rotation-prompt2,2,0.5,,False,,,"P1p-000-silh,P1n-000-silh",,
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.225034777,False,mrot_2d_rabbit_160,,"Rp-000-silh,Rn-000-silh",5000,2D
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,2.76733774,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
ap17-000,test_response,mental-rotation-prompt1,3,0.5,5.42543641,False,,,"an17-000,ap17-000",5000,3D
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,3.75,False,,,"P1p-000-silh,P1n-000-silh",5000,
ap1-000,test_response,mental-rotation-prompt1,3,0.5,2.648944978,False,mrot_3d_shape_040,,"ap1-000,an1-000",5000,3D
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.22503478,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
bn12-000,test_response,mental-rotation-prompt1,3,0.5,20.65816496,False,mrot_3d_shape_120,,"bn12-000,bp12-000",5000,3D
P1n-000-silh,test_response,mental-rotation-prompt1,2,0.5,3.125,False,,,"P1p-000-silh,P1n-000-silh",5000,
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,3.375,False,,,"P1p-000-silh,P1n-000-silh",5000,
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,2.50347869,False,,,"Dp-000-silh,Dn-000-silh",5000,2D
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,-3.3692895,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
Rp-000-silh,practice_response,mental-rotation-prompt1,1,0.5,,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.247897058,False,mrot_2d_rabbit_120,,"Rp-000-silh,Rn-000-silh",5000,2D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,0.33187786,False,,,"Dp-000-silh,Dn-000-silh",5000,2D
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.22503478,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
ap10-000,test_response,mental-rotation-prompt1,3,0.5,5.083581093,False,mrot_3d_shape_120,,"an10-000,ap10-000",5000,3D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.418173888,False,mrot_2d_duck_120,,"Dp-000-silh,Dn-000-silh",5000,2D
an1-000,test_response,mental-rotation-prompt1,3,0.5,4.55185406,False,,,"ap1-000,an1-000",5000,3D
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.25,False,,,"P2p-000-silh,P2n-000-silh",5000,
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,1.3491515,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,3.32249883,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,3.01041744,False,,,"Dp-000-silh,Dn-000-silh",5000,2D
bp14-000,test_response,mental-rotation-prompt1,3,0.5,6.133894881,False,mrot_3d_shape_120,,"bp14-000,bn14-000",5000,3D
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.5,False,,,"P2p-000-silh,P2n-000-silh",5000,
bp14-000,test_response,mental-rotation-prompt1,3,0.5,6.13389488,False,,,"bp14-000,bn14-000",5000,3D
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.875,False,,,"P2p-000-silh,P2n-000-silh",5000,
P2p-000-silh,test_response,mental-rotation-prompt1,2,0.5,5,False,,,"P2p-000-silh,P2n-000-silh",5000,
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.75,False,,,"P2p-000-silh,P2n-000-silh",5000,
bn5-000,test_response,mental-rotation-prompt1,3,0.5,4.911091619,False,mrot_3d_shape_040,,"bn5-000,bp5-000",5000,3D
Rp-000-silh,test_response,mental-rotation-prompt1,1,0.5,-0.4311973,False,,,"Rp-000-silh,Rn-000-silh",5000,2D
P2n-000-silh,test_response,mental-rotation-prompt1,2,0.5,4.875,False,,,"P2p-000-silh,P2n-000-silh",5000,
