identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
general-rotate-device,general,Please rotate your device for the best view of the activities.,Por favor utiliza la tableta en modo horizontal para que las actividades se puedan visualizar correctamente.,"Bitte drehen Sie Ihr Gerät, damit Sie die Aktivitäten optimal sehen können.",,,,,,"Por favor, gire seu dispositivo para ter a melhor visualização das atividades."
general-device-type,general,"Please use a tablet in landscape mode, a desktop computer, or a laptop to complete the activities.","Por favor utiliza una tableta en modo horizontal, un ordenador de sobremesa o un portátil para que las actividades se puedan visualizar correctamente.","Bitte verwenden Sie ein Tablet im Querformat, einen Desktop-Computer oder einen Laptop, um die Aufgaben zu lösen.",,,,,,"Por favor, use um tablet em modo paisagem, um computador de mesa ou um laptop para completar as atividades."
general-intro1,general,Hi! We are excited to have you play some games with us today!,¡Hola! ¡Estamos encantados de que juegues hoy con nosotros!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!  ",,,,,,Oi! Estamos entusiasmados por ter você jogando alguns jogos conosco hoje!
general-intro2,general,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","En primer lugar, tienes que elegir a un amigo para que juegue contigo. A medida que completes los diferentes juegos, podrás elegir un accesorio como un sombrero o unas gafas para decorar a tu amigo.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.",,,,,,"Primeiro, você pode escolher um companheiro para jogar com você. Conforme você completa os diferentes jogos, poderá escolher um acessório como um chapéu ou óculos para decorar seu amigo."
pick-buddy,general,Pick a buddy to play with!,¡Escoge un amigo para jugar!,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",,,,,,Escolha um amigo para jogar!
general-intro3,general,"Now that you have your buddy, we want to explain how the games work.","Ahora que ya tienes a tu amigo, queremos explicarte cómo funcionan los juegos.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.",,,,,,"Agora que você tem seu companheiro, queremos explicar como os jogos funcionam."
general-intro4,general,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Durante los juegos tendrás que escuchar las instrucciones, así que asegúrate de que los altavoces están encendidos y el volumen está a tu gusto. Si necesitas volver a escuchar las instrucciones, presiona el botón del altavoz situado en la esquina superior de la pantalla.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.",,,,,,"Durante os jogos, você precisará ouvir as instruções, então certifique-se de que os alto-falantes estão ligados e o volume está do seu agrado. Se precisar ouvir as instruções novamente, clique no botão do alto-falante no canto da tela."
general-intro5,general,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Puedes elegir tus respuestas de diferentes maneras dependiendo del tipo de tableta u ordenador que estés utilizando. Puedes utilizar un ratón o un panel táctil para hacer clic en tu elección, puedes utilizar las teclas de flecha del teclado o puedes tocar la pantalla si utilizas una tableta. Puedes elegir la forma que más te convenga.

Si tienes alguna duda o necesitas ayuda para empezar, pide ayuda al adulto que esté cerca.","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.

Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen. ",,,,,,"Você pode escolher suas respostas de diferentes maneiras, dependendo do tipo de tablet ou computador que você está usando. Você pode usar um mouse ou touchpad para clicar na sua escolha, pode usar as teclas de seta no seu teclado ou pode tocar na tela se estiver usando um tablet. Escolha a maneira que funciona melhor para você.

Se tiver dúvidas ou precisar de ajuda para começar, peça ao adulto que estiver por perto para te ajudar."
task-finished,general,You've completed the game. Thank you!,Has completado el juego. ¡Gracias!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,,,,,,Você completou o jogo. Obrigado!
continue-button-text,general,OK,OK,OK,,,,,,OK
close-button-text,general,Close,Cerrar,Schließen,,,,,,Fechar
general-footer,general,Click the button below or press <b>ANY KEY</b> to continue,Haz clic en el botón abajo o presiona <b>CUALQUIER TECLA</b> para continuar,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",,,,,,Clique no botão abaixo ou pressione <b>QUALQUER TECLA</b> para continuar
instructions,general,instructions,instrucciones,Anweisungen,,,,,,instruções
