answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
tf1_61_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.737,False,matrix_set1_md_mat61,,"tf1_61_T3_ss3_md,tf1_61_T2_ss3_md,tf1_61_T4_ss3_md",,Matrix Reasoning
tf1_18_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,2.513,False,,,"tf1_18_T3_ss2_md,tf1_18_T2_ss2_md,tf1_18_T4_ss2_md",,Matrix Reasoning
blue-triangle,test_response,"matrix-reasoning-prompt1-part1-downex,matrix-reasoning-prompt1-part2-downex",0,0.25,,True,,,"blue-star,blue-square,blue-circle",,Matrix Reasoning
tf3_70_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat70,,"tf3_70_T3_ss1_md,tf3_70_T4_ss1_md,tf3_70_T2_ss1_md",,Matrix Reasoning
tf3_56_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat56,,"tf3_56_T4_ss2_md,tf3_56_T2_ss2_md,tf3_56_T3_ss2_md",,Matrix Reasoning
tf1_11_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,1.755,False,matrix_set1_md_mat11,,"tf1_11_T3_ss1_md,tf1_11_T4_ss1_md,tf1_11_T2_ss1_md",,Matrix Reasoning
tf1_55_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,,,"tf1_55_T4_ss3_md,tf1_55_T2_ss3_md,tf1_55_T3_ss3_md",,Matrix Reasoning
tf1_59_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.737,False,,,"tf1_59_T4_ss1_md,tf1_59_T2_ss1_md,tf1_59_T3_ss1_md",,Matrix Reasoning
tf3_69_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat69,,"tf3_69_T3_ss3_md,tf3_69_T4_ss3_md,tf3_69_T2_ss3_md",,Matrix Reasoning
tf1_60_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,0.723,False,matrix_set1_md_mat60,,"tf1_60_T3_ss2_md,tf1_60_T2_ss2_md,tf1_60_T4_ss2_md",,Matrix Reasoning
tf3_12_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat12,,"tf3_12_T3_ss3_md,tf3_12_T2_ss3_md,tf3_12_T4_ss3_md",,Matrix Reasoning
tf1_76_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,1.383,False,matrix_set1_md_mat76,,"tf1_76_T3_ss3_md,tf1_76_T4_ss3_md,tf1_76_T2_ss3_md",,Matrix Reasoning
tf3_74_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat74,,"tf3_74_T3_ss2_md,tf3_74_T4_ss2_md,tf3_74_T2_ss2_md",,Matrix Reasoning
tf1_68_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.394,False,matrix_set1_md_mat68,,"tf1_68_T3_ss1_md,tf1_68_T4_ss1_md,tf1_68_T2_ss1_md",,Matrix Reasoning
tf3_49_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat49,,"tf3_49_T4_ss1_md,tf3_49_T2_ss1_md,tf3_49_T3_ss1_md",,Matrix Reasoning
tf3_41_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat41,,"tf3_41_T2_ss2_md,tf3_41_T4_ss2_md,tf3_41_T3_ss2_md",,Matrix Reasoning
tf1_52_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set1_md_mat52,,"tf1_52_T4_ss3_md,tf1_52_T2_ss3_md,tf1_52_T3_ss3_md",,Matrix Reasoning
tf1_17_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,1.22,False,,,"tf1_17_T3_ss1_md,tf1_17_T4_ss1_md,tf1_17_T2_ss1_md",,Matrix Reasoning
tf3_75_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat75,,"tf3_75_T3_ss3_md,tf3_75_T4_ss3_md,tf3_75_T2_ss3_md",,Matrix Reasoning
tf3_30_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat30,,"tf3_30_T2_ss3_md,tf3_30_T4_ss3_md,tf3_30_T3_ss3_md",,Matrix Reasoning
tf3_57_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat57,,"tf3_57_T4_ss3_md,tf3_57_T2_ss3_md,tf3_57_T3_ss3_md",,Matrix Reasoning
green-circle,practice_response,"sds-your-turn,matrix-reasoning-prompt1-part1-downex,matrix-reasoning-prompt1-part2-downex",0,0.25,,True,,,"blue-star,black-square,orange-triangle",,practice
tf1_34_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,1.043,False,matrix_set1_md_mat34,,"tf1_34_T2_ss3_md,tf1_34_T4_ss3_md,tf1_34_T3_ss3_md",,Matrix Reasoning
tf3_13_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat13,,"tf3_13_T3_ss1_md,tf3_13_T4_ss1_md,tf3_13_T2_ss1_md",,Matrix Reasoning
tf1_50_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,0.713,False,,,"tf1_50_T4_ss1_md,tf1_50_T2_ss1_md,tf1_50_T3_ss1_md",,Matrix Reasoning
tf1_71_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,0.785,False,matrix_set1_md_mat71,,"tf1_71_T3_ss1_md,tf1_71_T2_ss1_md,tf1_71_T4_ss1_md",,Matrix Reasoning
tf1_65_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.367,False,,,"tf1_65_T3_ss1_md,tf1_65_T2_ss1_md,tf1_65_T4_ss1_md",,Matrix Reasoning
tf1_36_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.394,False,matrix_set1_md_mat36,,"tf1_36_T4_ss2_md,tf1_36_T2_ss2_md,tf1_36_T3_ss2_md",,Matrix Reasoning
tf3_29_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat29,,"tf3_29_T4_ss2_md,tf3_29_T2_ss2_md,tf3_29_T3_ss2_md",,Matrix Reasoning
tf3_17_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat17,,"tf3_17_T3_ss2_md,tf3_17_T4_ss2_md,tf3_17_T2_ss2_md",,Matrix Reasoning
tf3_59_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat59,,"tf3_59_T4_ss2_md,tf3_59_T2_ss2_md,tf3_59_T3_ss2_md",,Matrix Reasoning
tf1_41_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,1.043,False,matrix_set1_md_mat41,,"tf1_41_T2_ss1_md,tf1_41_T4_ss1_md,tf1_41_T3_ss1_md",,Matrix Reasoning
tf1_42_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,0.558,False,matrix_set1_md_mat42,,"tf1_42_T2_ss2_md,tf1_42_T4_ss2_md,tf1_42_T3_ss2_md",,Matrix Reasoning
tf3_36_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat36,,"tf3_36_T2_ss3_md,tf3_36_T4_ss3_md,tf3_36_T3_ss3_md",,Matrix Reasoning
tf1_80_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,1.334,False,,,"tf1_80_T3_ss1_md,tf1_80_T2_ss1_md,tf1_80_T4_ss1_md",,Matrix Reasoning
tf3_64_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat64,,"tf3_64_T3_ss1_md,tf3_64_T4_ss1_md,tf3_64_T2_ss1_md",,Matrix Reasoning
tf1_78_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,-1.87,False,matrix_set1_md_mat78,,"tf1_78_T3_ss2_md,tf1_78_T4_ss2_md,tf1_78_T2_ss2_md",,Matrix Reasoning
tf3_54_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat54,,"tf3_54_T2_ss3_md,tf3_54_T4_ss3_md,tf3_54_T3_ss3_md",,Matrix Reasoning
tf1_29_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.303,False,,,"tf1_29_T4_ss1_md,tf1_29_T2_ss1_md,tf1_29_T3_ss1_md",,Matrix Reasoning
tf3_14_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat14,,"tf3_14_T3_ss2_md,tf3_14_T2_ss2_md,tf3_14_T4_ss2_md",,Matrix Reasoning
black-circle,test_response,matrix-reasoning-prompt1-part2-downex,0,0.25,,True,,,"blue-circle,blue-star,black-star",,Matrix Reasoning
tf3_23_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat23,,"tf3_23_T2_ss2_md,tf3_23_T4_ss2_md,tf3_23_T3_ss2_md",,Matrix Reasoning
tf1_4_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.668,False,matrix_set1_md_mat4,,"tf1_4_T3_ss3_md,tf1_4_T4_ss3_md,tf1_4_T2_ss3_md",,Matrix Reasoning
tf3_55_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat55,,"tf3_55_T4_ss1_md,tf3_55_T2_ss1_md,tf3_55_T3_ss1_md",,Matrix Reasoning
tf3_33_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_pd_mat33,,"tf3_33_T4_ss3_md,tf3_33_T2_ss3_md,tf3_33_T3_ss3_md",,Matrix Reasoning
tf1_67_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,-0.034,False,,,"tf1_67_T3_ss3_md,tf1_67_T2_ss3_md,tf1_67_T4_ss3_md",,Matrix Reasoning
tf3_80_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,,False,matrix_set3_md_mat80,,"tf3_80_T3_ss2_md,tf3_80_T2_ss2_md,tf3_80_T4_ss2_md",,Matrix Reasoning
tf1_49_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,0.399,False,,,"tf1_49_T4_ss3_md,tf1_49_T2_ss3_md,tf1_49_T3_ss3_md",,Matrix Reasoning
tf1_44_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,2.971,False,,,"tf1_44_T4_ss1_md,tf1_44_T2_ss1_md,tf1_44_T3_ss1_md",,Matrix Reasoning
tf1_46_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,1.348,False,,,"tf1_46_T4_ss3_md,tf1_46_T2_ss3_md,tf1_46_T3_ss3_md",,Matrix Reasoning
tf1_19_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,2.867,False,matrix_set1_md_mat19,,"tf1_19_T3_ss3_md,tf1_19_T2_ss3_md,tf1_19_T4_ss3_md",,Matrix Reasoning
