answer,assessment_stage,audio_file,block_index,chance_level,difficulty,downex,item_uid,required_selections,response_alternatives,time_limit,trial_type
11-red,test_response,trog-item-11,,0.25,-4.495436067,False,trog_adjective_red,,"11-blue,11-pink,11-yellow",,adjective
53-tall-boy-chases-horse,test_response,trog-item-53,,0.25,-2.846163891,False,trog_postmod_boy_chasing_horse_tall,,"53-horse-chases-tall-boy,53-horse-chases-boy,53-boy-chases-horse",,postmodified subject
40-girl-drops-cups,test_response,trog-item-40,,0.25,-1.991912,False,trog_pluralmorph_girl_drop_cups,,"40-girl-hold-cup,40-girl-drops-cup,40-girl-bounces-balls",,singular/plural noun inflection
48-man-pushes-cow,test_response,trog-item-48,,0.25,-3.069308322,False,trog_revpassive_cow_pushed_man,,"48-cow-pushes-man,48-sheep-pushes-cow,48-man-pushes-pram",,reversible passive
96-short-girl-wear-backpack,test_response,trog-item-96,,0.25,,False,trog_revpassrelclause_girl_wearing_backpack_shown_flower,,"96-both-girls-hold-backpacks,96-tall-girl-holds-backpack-and-flower,96-tall-girl-holds-flower-wears-backpack",,reversible passive; relative clause
61-pencil-above-flower,test_response,trog-item-61,,0.25,-1.385051633,False,trog_abovebelow_pencil_above_flower,,"61-pencil-beside-flower,61-flower-above-pencil,61-flower-behind-pencil",,above and below
94-stub-toe-book-falls,test_response,trog-item-94,,0.25,-2.609019671,False,trog_gerund_bump_table_case_book_fall,,"94-stub-toe,94-book-falls,94-trip-rock",,gerund phrase
65-bird-blue-flower-blue,test_response,trog-item-65,,0.25,-1.238294058,False,trog_notonly_notonly_bird_flower_blue,,"65-bird-blue-flower-white,65-bird-white-flower-blue,65-bird-white-flower-white",,not only X but also Y
38-guy-on-chairs,test_response,trog-item-38,,0.25,-1.372561,False,trog_pluralmorph_boy_stand_chairs,,"38-guy-on-chair,38-dog-on-chairs,38-guy-lay-on-chairs",,singular/plural noun inflection
81-horse-water-barn-sheep-grass,test_response,trog-item-81,,0.25,-0.9200342883,False,trog_additive_hose_drink_sheep_eat,,"81-horse-sheep-water-barn,81-horse-sheep-grass,81-sheep-water",,additive
27-people-jump-wall,test_response,trog-item-27,,0.25,-2.837302583,False,trog_pluralpronoun_they_jump_wall,,"27-girl-jump-wall,27-girls-behind-wall,27-boys-jump-grass",,singular/plural personal pronoun
67-girl-cat-sitting,test_response,trog-item-67,,0.25,-2.196203105,False,trog_notonly_notonly_girl_cat_sit,,"67-girl-cat-stand,67-girl-point-cat,67-girl-sit-cat-stand",,not only X but also Y
5-eating,test_response,trog-item-5,,0.25,-3.67535434,False,trog_verb_eating,,"5-kicking,5-riding,5-dropping",,verb
1-shoe,test_response,trog-item-1,,0.25,,False,trog_noun_shoe,,"1-fork,1-boy,1-tree",,noun
74-short-green-pencil,test_response,trog-item-74,,0.25,-2.973695072,False,trog_neither_pencil_long_nor_red,,"74-long-red-pencil,74-long-green-pencil,74-short-red-pencil",,neither X nor Y
87-woman-serves-girl-cake,test_response,trog-item-87,,0.25,,False,trog_conditional_teacher_give_if_stand_line,,"87-woman-serves-girl-cake-no-line,87-girl-serves-woman-cake,87-girl-serves-woman-cake-no-line",,conditional
83-picnic-sunny-park,test_response,trog-item-83,,0.25,0.4254710254,False,trog_conditional_we_picnic_if_park_sunny,,"83-picnic-park-rainy,83-picnic-island-rainy,83-picnic-island-sunny",,conditional
59-boy-jumps-horse-stands,test_response,trog-item-59,,0.25,-0.2276623642,False,trog_xnoty_horse_not_boy_stand,,"59-horse-and-boy-jump,59-horse-and-boy-stand,59-horse-jumps-boy-stands",,X but not Y
29-girl-pushes-horse,test_response,trog-item-29,,0.25,-3.004953223,False,trog_revactive_girl_push_horse,,"29-boy-rides-horse,29-horse-pushes-girl,29-girl-pushes-man",,reversible active
102-car-truck-into-tunnel,test_response,trog-item-102,,0.25,,False,trog_preploc_car_truck_follow_drive,,"102-car-into-tunnel,102-car-out-of-tunnel,102-car-truck-out-of-tunnel",,advanced preposition direction
75-boy-before-horse,test_response,trog-item-75,,0.25,0.0259093624,False,trog_neither_boy_nor_horse_run,,"75-girl-chases-horse,75-boy-chases-horse,75-boy-behind-horse",,neither X nor Y
70-girl-chases-big-dog,test_response,trog-item-70,,0.25,-2.41453005,False,trog_relclause_girl_chase_dog_that_big,,"70-dog-chases-girl,70-girl-chases-small-dog,70-girl-chases-small-dog2",,relative clause
44-horse-small-wall,test_response,trog-item-44,,0.25,-1.991911874,False,trog_comparative_horse_taller_wall,,"44-horse-large-wall,44-tree-wall,44-feed-horse-apple",,comparative/absolute
46-boy-push-elephant,test_response,trog-item-46,,0.25,-3.270284928,False,trog_revpassive_elephant_pushed_boy,,"46-man-feed-elephant,46-boy-push-truck,46-elephant-push-boy",,reversible passive
