item_id,source,translation,score
general-rotate-device,Please rotate your device for the best view of the activities.,"Bitte drehen Sie Ihr Gerät, damit Sie die Aktivitäten optimal sehen können.",0.8541653156280518
general-device-type,"Please use a tablet in landscape mode, or a desktop computer or a laptop to complete the activities.","Bitte verwenden Sie ein Tablet im Querformat, einen Desktop-Computer oder einen Laptop, um die Aufgaben zu lösen.",0.8485660552978516
general-intro1,Hi! We are excited to have you play some games with us today!,"Hallo! Wir freuen uns, dass du heute ein paar Spiele mit uns spielst!",0.8710131645202637
general-intro2,"First, you get to choose a buddy to play along with you. As you complete the different games, you will get to pick an accessory like a hat or glasses to decorate your buddy.","Zuerst kannst du einen Spielpartner auswählen, der die Spiele zusammen mit dir spielt. Nach jedem Spiel darfst du dir eine Sache aussuchen, zum Beispiel einen Hut oder eine Brille, die dein Spielpartner dann aufsetzen oder anziehen kann.",0.7257267236709595
pick-buddy,Pick a buddy to play with!,"Du kannst dir jetzt aussuchen, wer mit dir spielen soll!",0.8372578620910645
general-intro3,"Now that you have your buddy, we want to explain how the games work.","Super, jetzt hast du deinen Spielpartner! Jetzt wollen wir dir erklären, wie die Spiele funktionieren.",0.8540955185890198
general-intro4,"During the games you will need to listen to instructions so make sure your speakers are on and the volume is the way you like it. If you need to hear the instructions again, you can click the speaker button up in the corner of your screen.","Während der Spiele wirst du Anweisungen hören. Achte also darauf, dass deine Lautsprecher eingeschaltet sind und die Lautstärke für dich angenehm ist. Wenn du die Anweisungen noch einmal hören möchtest, kannst du auf die Lautsprechertaste oben in der Ecke deines Bildschirms klicken.",0.8619688749313354
general-intro5,"You can choose your answers in different ways depending on the type of tablet or computer you are using. You can use a mouse or touchpad to click your choice, you can use the arrow keys on your keyboard, or you can touch your screen if you are using a tablet. You can pick the way that works best for you.

If you have any questions or need help getting started, please ask the adult who is nearby to help you. ","Je nach Art des Tablets oder Computers, den du verwendest, kannst du deine Antworten auf unterschiedliche Weise auswählen. Du kannst eine Maus oder ein Touchpad benutzen, um etwas anzuklicken, du kannst die Pfeiltasten auf deiner Tastatur benutzen oder du kannst deinen Bildschirm berühren, wenn du ein Tablet benutzt. Du kannst die Methode wählen, die für dich am besten geeignet ist.

Wenn du Fragen hast oder zum Starten Hilfe brauchst, bitte einen Erwachsenen in deiner Nähe, dir zu helfen. ",0.8606976270675659
task-finished,You've completed the game. Thank you!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,0.8254421353340149
continue-button-text,OK,OK,0.827181875705719
close-button-text,Close,Schließen,0.8195650577545166
general-footer,Click the button below or press <b>ANY KEY</b> to continue,"Klicke auf die Fläche unten oder drücke eine Beliebige Taste, um fortzufahren",0.6960130929946899
instructions,instructions,Anweisungen,0.8150736093521118
general-encourage,Keep Going!,Weiter so!,0.7983561754226685
feedbackCorrect,Great! That's right.,Großartig! Das ist richtig.,0.8557742834091187
feedback-not-quite-right,That's not quite right. Please try again.,Das stimmt nicht ganz. Versuch es noch einmal!,0.855692982673645
feedback-try-again,Please try again!,Versuch es noch einmal!,0.8703559041023254
feedback-good-job,Good job!,Gut gemacht!,0.8658900856971741
feedback-nice-work,Nice work!,Sehr gut!,0.8208478689193726
replay-button,Press the speaker button if you want the question repeated.,"Klick auf die Wiederholungstaste, wenn du die Frage nochmal hören willst.",0.833315372467041
general-fullscreen,Switch to full screen mode,Bitte wechsle in den Vollbildmodus.,0.8396093249320984
general-repeat-instructions,Looks like this is a little tricky! Let’s review the instructions.,"Das ist ganz schön knifflig! Wir schauen uns nochmal genau an, wie das Spiel geht!",0.7211823463439941
general-keyboard-instructions,"If you want to use your keyboard to answer a question, press the arrow key shown next to your choice.","Wenn du zum beantworten einer Frage deine Tastatur nutzen möchtest, dann drück einfach die Pfeiltaste auf der Seite, die du wählen möchtest.",0.8038440346717834
intro-finished,You've finished the instructions. Thank you!,Das war die Spielanleitung. Vielen Dank!,0.6393758058547974
general-exit,Exit,Spiel verlassen.,0.592836856842041
task-completion,You've completed this game. Thank you!,Dieses Spiel ist jetzt zu Ende! Danke fürs Mitmachen!,0.832329273223877
general-your-turn,Nice job with the practice! Let's try some more on your own.,Das Üben hat schonmal super geklappt! Jetzt kannst du es nochmal alleine versuchen. ,0.7736879587173462
matrix-reasoning-instruct1,"We’re going to show you a puzzle, and your job is to pick the best piece to complete the puzzle. Let's get started!","Wir zeigen dir ein Puzzle, und deine Aufgabe ist es, das beste Teil zu finden, um das Puzzle zu vervollständigen. Los geht's!",0.8570252656936646
